昆虫ID,分類群,大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族名_1,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,その他の和名_1,標準図鑑以後の変更,学名,主要食草1,主要食草科1,観察タイプ1,利用部位1,利用ステージ1,出典1,食草備考1,主要食草2,主要食草科2,観察タイプ2,利用部位2,利用ステージ2,出典2,食草備考2,主要食草3,主要食草科3,観察タイプ3,利用部位3,利用ステージ3,出典3,食草備考3,主要食草4,主要食草科4,観察タイプ4,利用部位4,利用ステージ4,出典4,食草備考4,主要食草5,主要食草科5,観察タイプ5,利用部位5,利用ステージ5,出典5,食草備考5,データソース,備考
catalog-15,蛾類,15,Hepialidae,コウモリガ科,,,,,,,Thitarodes,,variabilis,,,,,ヒメコウモリ,,,,,,"Thitarodes variabilis (Bremer, 1861)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0021,蛾類,,Hepialidae,コウモリガ科,,,,,,,Thitarodes,,nipponensis,,,,,ウスイロコウモリ,,,,,,"Thitarodes nipponensis Ueda, 1996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-14,蛾類,14,Hepialidae,コウモリガ科,,,,,,,Phymatopus,,japonicus,,,,,キンスジコウモリ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-21,蛾類,21,Hepialidae,コウモリガ科,,,,,,,Endoclita,,excrescens,,,,,コウモリガ,,,,,,"Endoclita excrescens (Butler, 1877)",ヤナギ類ギンドロ（以上ヤナギ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,キリ（ゴマノハグサ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,クヌギ（ブナ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,アカメガシワ（トウダイグサ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,ListMJ_hostplants_master.csv,8-10月,,,,
catalog-20,蛾類,20,Hepialidae,コウモリガ科,,,,,,,Endoclita,,sinensis,,,,,キマダラコウモリ,,,,,,"Endoclita sinensis (Moore, 1877)",キリ（ゴマノハグサ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,クヌギ（ブナ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,ジャガイモ（ナス科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,ListMJ_hostplants_master.csv,広食性,,,,
moth-0022,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Enteucha,,sp. of Owada et al. 2006,,,,,ミズヒキモグリチビガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0023,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,kurilensis,,,,,クナシリモグリチビガ,,,,,,"Stigmella kurilensis Puplesis, 1987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0024,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,monella,,,,,ウリカエデモグリチビガ,,,,,,"Stigmella monella Puplesis, 1984",ウリカエデ; ウリハダカエデ; ミネカエデ; イタヤカエデ（以上ムクロジ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0025,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,orientalis,,,,,ヤクシマモグリチビガ,,,,,,"Stigmella orientalis Kemperman & Wilkinson, 1985",ミヤマウリカエデ（ムクロジ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0026,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,ultima,,,,,イタヤモグリチビガ,,,,,,"Stigmella ultima Puplesis, 1984",イタヤカエデ; イロハモミジ（以上カエデ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0027,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,nireae,,,,,ニレモグリチビガ,,,,,,"Stigmella nireae Kemperman & Wilkinson, 1985",ハルニレ（ニレ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0028,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,palionisi,,,,,ナカムラモグリチビガ,,,,,,"Stigmella nakamurai Kemperman & Wilkinson, 1985",ハルニレ（ニレ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0029,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,morivora,,,,,ヤマグワモグリチビガ,,,,,,"Stigmella morivora Hirano, 2010",ヤマグワ（クワ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0030,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,naturnella,,,,,ホソオビモグリチビガ,,,,,,"Stigmella naturnella (Klimesch, 1936)",シラカンパ; オノオレカンパ（以上カバノキ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0031,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,sashai,,,,,シナノキモグリチビガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0032,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,betulicola,,,,,シラカバモグリチビガ,,,,,,"Stigmella betulicola (Stainton, 1856)",シラカンパ; ダケカンバ（以上カバノキ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv, 国外では各種の Betula 属の葉（カバノキ科）,,,,
moth-0033,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,microtheriella,,,,,イヌシデモグリチビガ,,,,,,"Stigmella cathepostis Kemperman & Wilkinson, 1985",イヌシデ; ツノハシパミ; アカシデ（以上カバノキ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0034,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,nivenburgensis,,,,,ポプラモグリチビガ,,,,,,"Stigmella populnea Kemperman & Wilkinson, 1985",セイヨウハコヤナギ（ポプラ）（ヤナギ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0035,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,sakhalinella,,,,,サハリンモグリチビガ,,,,,,"Stigmella sakhalinella Puplesis, 1984",シラカンパ（カバノキ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,国外では各種のカバノキ Betula 属の葉,,,,
moth-0036,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,conchyliata,,,,,ハンノモグリチビガ,,,,,,"Stigmella conchyliata Kemperman & Wilkinson, 1985",ハンノキの一種（カバノキ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0037,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,kumashidei,,,,,クマシデモグリチビガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0038,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,oplismeniella,,,,,チヂミザサモグリチビガ,,,,,,"Stigmella oplismeniella Kemperman & Wilkinson, 1985",チヂミザサ（イネ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0039,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,titivillitia,,,,,ハンノクロエリモグリチビガ,,,,,,"Stigmella titivillitia Kemperman & Wilkinson, 1985",ヤマハンノキ; ケヤマハンノキ（以上カバノキ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0040,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,kurotsubarai,,,,,クロツバラモグリチビガ,,,,,,"Stigmella kurotsubarai Kemperman & Wilkinson, 1985",クロツバラ; クロウメモドキ（以上クロウメモドキ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0041,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,boehmeriae,,,,,コアカソモグリチビガ,,,,,,"Stigmella boehmeriae Kemperman & Wilkinson, 1985",コアカソ; カラムシ（以上イラクサ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0042,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,azusa,,,,,アズサモグリチビガ,,,,,,"Stigmella azusa Hirano, 2010",コゴメヤナギ（ヤナギ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0043,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,tenryuensis,,,,,テンリュウモグリチビガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0044,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,tranocrossa,,,,,キモンオビモグリチビガ,,,,,,"Stigmella tranocrossa Kemperman & Wilkinson, 1985",セイヨウハコヤナギ（ポプラ）（ヤナギ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0045,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,vittata,,,,,ヤナギモグリチビガ,,,,,,"Stigmella vittata Kemperman & Wilkinson, 1985",ネコヤナギ; バッコヤナギ; シバヤナギ,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0046,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,alaurulenta,,,,,ズミクロエリモグリチビガ,,,,,,"Stigmella alaurulenta Kemperman & Wilkinson, 1985",ズミ（バラ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0047,蛾類,,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,chaenomelae,,,,,クサボケモグリチビガ,,,,,,"Stigmella chaenomelae Kemperman & Wilkinson, 1985",クサボケ（バラ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
