学名 withAuthor,和名,別名,ステータス,LAPG 科名,LAPG Family,LAPG no.,Cronquist 科名,Cronquist family,cronquist No.,Engler 科名,Engler family,Engler no.,生態,学名,修正日,ID,発表年,LAPGII::LAPG Family広義,LAPGII::LAPG Order,LAPGII::LAPG 目,LAPGII::LAPGno.,LAPGII::LAPG科名,LAPGII::LAPG Family狭義
Oplismenus undulatifolius (Ard.) Roem. et Schult.  f. elongatus (Honda) Y.N.Lee,ケチヂミザサ,,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Oplismenus undulatifolius f. elongatus,2014.01.18,44872,1966,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Oplismenus undulatifolius (Ard.) Roem. et Schult.  var. japonicus (Steud.) Koidz.,コチヂミザサ,,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Oplismenus undulatifolius var. japonicus,2019.10.27,44873,1925,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Oplismenus undulatifolius (Ard.) Roem. et Schult.  var. japonicus (Steud.) Koidz.  f. microphyllus (Honda) Sugim.,チャボチヂミザサ,,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Oplismenus undulatifolius var. japonicus f. microphyllus,2014.02.02,44875,1967,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Pennisetum alopecuroides (L.) Spreng.  f. purpurascens (Thunb.) Ohwi,チカラシバ,,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Pennisetum alopecuroides f. purpurascens,2014.12.26,44876,1941,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Phacelurus latifolius (Steud.) Ohwi  f. angustifolius (Debeaux) Kitag.,アイアシ,ホソバアイアシ,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Phacelurus latifolius f. angustifolius,2020.01.24,44877,1966,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Phacelurus latifolius (Steud.) Ohwi  var. angustifolius (Debeaux) Kitag.,アイアシ,ホソバアイアシ,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Phacelurus latifolius var. angustifolius,2020.06.14,44878,1939,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Poa kanboensis Ohwi,カンボウイチゴツナギ,,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Poa kanboensis,2015.05.14,44879,1941,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Poa arctica R.Br.  subsp. arctica,キョクチソモソモ,,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Poa arctica subsp. arctica,2014.01.18,44880,1824,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Poa takeshimana Honda,タケシマイチゴツナギ,,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Poa takeshimana,2017.02.20,44881,1928,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Poa ullungdoensis I.Chung,,,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Poa ullungdoensis,2015.05.13,44882,1955,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Poa sugawarae Ohwi,カラフトソモソモ,,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Poa sugawarae,2014.01.18,44883,1941,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Poa platyantha Kom.,キタチシマソモソモ,,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Poa platyantha,2015.05.13,44884,1924,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Poa finitima T.Koyama,ヒメカラフトイチゴツナギ,,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Poa finitima,2021.01.25,44885,1956,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Poa shumushuensis Ohwi,ヒナソモソモ,,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Poa shumushuensis,2018.03.21,44886,1941,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Pseudosasa japonica (Siebold et Zucc. ex Steud.) Makino ex Nakai  var. purpurascens Nakai,ムラサキヤダケ,,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Pseudosasa japonica var. purpurascens,2014.01.18,44887,1934,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
