type,record_id,plant_name,from,to
name_descriptive_strip,hostplant-913177,栽培種のカナヤマイチゴ,栽培種のカナヤマイチゴ,カナヤマイチゴ
name_descriptive_strip,hostplant-913183,栽培ブドウ,栽培ブドウ,ブドウ
name_descriptive_strip,hostplant-913189,栽培ブドウ,栽培ブドウ,ブドウ
family_align_ylist,hostplant-913243,アマドコロ,ユリ科,クサスギカズラ科
family_align_ylist,hostplant-913245,ガガイモ,ガガイモ科,キョウチクトウ科
family_align_ylist,hostplant-913248,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-913268,モクタチバナ,ヤブコウジ科,サクラソウ科
family_align_ylist,hostplant-913269,シマイズセンリョウ,ヤブコウジ科,サクラソウ科
family_align_ylist,hostplant-913270,イズセンリョウ,ヤブコウジ科,サクラソウ科
family_align_ylist,hostplant-913273,ウラジロエノキ,ニレ科,アサ科
family_align_ylist,hostplant-913290,スギ,スギ科,ヒノキ科
family_align_ylist,hostplant-913312,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-913392,コミカンソウ,トウダイグサ科,コミカンソウ科
family_align_ylist,hostplant-913426,シナノキ,シナノキ科,アオイ科
name_paren_canonicalize,hostplant-H3-0003,セイロンテリハボク（テツザイノキ）,セイロンテリハボク（テツザイノキ）,セイロンテリハボク
family_align_ylist,hostplant-H3-0004,テリハボク,オトギリソウ科,テリハボク科
name_paren_canonicalize,hostplant-H3-0015,オオバタブ（アオガシ）,オオバタブ（アオガシ）,オオバタブ
name_paren_canonicalize,hostplant-H3-0096,セイヨウハコヤナギ（ポプラ）,セイヨウハコヤナギ（ポプラ）,セイヨウハコヤナギ
name_paren_canonicalize,hostplant-H3-0123,セイヨウミザクラ（オウトウ）,セイヨウミザクラ（オウトウ）,セイヨウミザクラ
name_paren_canonicalize,hostplant-H3-0131,イヌリンゴ（ヒメリンゴ）,イヌリンゴ（ヒメリンゴ）,イヌリンゴ
name_paren_canonicalize,hostplant-H3-0172,セイヨウハコヤナギ（ポプラ）,セイヨウハコヤナギ（ポプラ）,セイヨウハコヤナギ
name_paren_canonicalize,hostplant-H3-0186,オオバグミ（マルバグミ）,オオバグミ（マルバグミ）,オオバグミ
family_align_ylist,hostplant-H3-0253,ガンコウラン,ガンコウラン科,ツツジ科
family_align_ylist,hostplant-H3-0256,ガンコウラン,ガンコウラン科,ツツジ科
name_paren_canonicalize,hostplant-H3-0266,オオカメノキ（ムシカリ）,オオカメノキ（ムシカリ）,オオカメノキ
name_paren_canonicalize,hostplant-H3-0273,ツルアジサイ（ゴトウヅル）,ツルアジサイ（ゴトウヅル）,ツルアジサイ
family_align_ylist,hostplant-kamikiri-audit-20260625-0029,サカキ,ツバキ科,モッコク科
family_align_ylist,hostplant-kamikiri-audit-20260625-0030,サカキ,ツバキ科,モッコク科
family_align_ylist,hostplant-kamikiri-audit-20260625-0031,サカキ,ツバキ科,モッコク科
family_align_ylist,hostplant-kamikiri-audit-20260625-0032,サカキ,ツバキ科,モッコク科
family_align_ylist,hostplant-kamikiri-audit-20260625-0033,サカキ,ツバキ科,モッコク科
family_align_ylist,hostplant-kamikiri-audit-20260625-0034,ヒサカキ,ツバキ科,モッコク科
family_verified_override,hostplant-kamikiri-audit-20260625-0043,モッコク,ツバキ科,モッコク科
family_verified_override,hostplant-kamikiri-audit-20260625-0044,モッコク,ツバキ科,モッコク科
family_verified_override,hostplant-kamikiri-audit-20260625-0045,モッコク,ツバキ科,モッコク科
family_align_ylist,hostplant-kamikiri-audit-20260625-0047,テリハボク,オトギリソウ科,テリハボク科
family_align_ylist,hostplant-kamikiri-audit-20260625-0048,テリハボク,オトギリソウ科,テリハボク科
family_align_ylist,hostplant-kamikiri-audit-20260625-0049,フクギ,オトギリソウ科,フクギ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0050,フクギ,オトギリソウ科,フクギ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0059,タマアジサイ,ユキノシタ科,アジサイ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0060,タマアジサイ,ユキノシタ科,アジサイ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0061,ノリウツギ,ユキノシタ科,アジサイ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0062,ツルアジサイ,ユキノシタ科,アジサイ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0063,ツルアジサイ,ユキノシタ科,アジサイ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0064,ツルアジサイ,ユキノシタ科,アジサイ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0065,ツルアジサイ,ユキノシタ科,アジサイ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0066,ツルアジサイ,ユキノシタ科,アジサイ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0067,ツルアジサイ,ユキノシタ科,アジサイ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0068,ツルアジサイ,ユキノシタ科,アジサイ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0320,アカギ,トウダイグサ科,コミカンソウ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0321,アカギ,トウダイグサ科,コミカンソウ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0322,アカギ,トウダイグサ科,コミカンソウ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0323,カキバカンコノキ,トウダイグサ科,コミカンソウ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0462,トウカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0463,チドリノキ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0464,チドリノキ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0465,チドリノキ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0466,チドリノキ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0467,チドリノキ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0468,ミツデカエデ,カエデ科,ムクロジ科
