和名,学名,成虫発生時期,成虫発生時期に関する備考
ヒメサザナミアオシャク,"Pelagodes proquadraria (Inoue, 1976)",,
チビサザナミシロアオシャク,"Pelagodes ogasawarensis (Inoue, 1994)",,
サザナミシロアオシャク,"Thalassodes intaminata Inoue, 1971",,
トガリサザナミシロアオシャク,"Thalassodes supracutipennis Inoue, 1994)",,
ナミガタウスキアオシャク,"Jodis lactearia (Linnaeus, 1758)",,
ヒメナミガタアオシャク,"Jodis placida Inoue, 1986",,
ヒメウスアオシャク,"Jodis putata (Linnaeus, 1758)",,
マルモンヒメアオシャク,"Jodis praerupta (Butler, 1878)",,
ウスキヒメアオシャク,"Jodis urosticta Prout, 1930",,
スカシヒメアオシャク,"Jodis amamiensis Inoue, 1982",,
ウスミズアオシャク,"Jodis argutaria (Walker, 1866)",,
コガタヒメアオシャク,"Jodis orientalis Wehrli, 1923",,
オオナミガタアオシャク,"Jodis dentifascia Warren, 1897",,
スジモンツバメアオシャク,"Maxates albistrigata (Warren, 1895)",,
ツバメアオシャク,"Maxates ambigua (Butler, 1878)",,
ズグロツバメアオシャク,"Maxates fuscofrons (Inoue, 1954)",,
ヒロバツバメアオシャク,"Maxates illiturata (Walker, 1863)",,
サキシマツバメアオシャク,"Maxates versicauda (Prout, 1920)",,
ヒメツバメアオシャク,"Maxates protrusa (Butler, 1878)",,
ハガタツバメアオシャク,"Maxates grandificaria (Graeser, 1890)",,
スジツバメアオシャク,"Aoshakuna lucia (Thierry-Mieg, 1917)",,
コガタアオシャク,"Microloxia chlorissodes Prout, 1912",,
キバラヒメアオシャク,"Hemithea aestivaria (Hübner, 1799)",,
ハラアカヒメアオシャク,"Hemithea beethoveni Inoue, 1942",,
ヘリグロヒメアオシャク,"Hemithea tritonaria (Walker, 1863)",,
アオスジアオシャク,"Hemithea marina (Butler, 1878)",,
コウスアオシャク,"Chlorissa obliterata (Walker, 1863)",,
ハラアカアオシャク,"Chlorissa amphitritaria (Oberthür, 1879)",,
ウスハラアカアオシャク,"Chlorissa inornata (Matsumura, 1925)",,
ホソバハラアカアオシャク,"Chlorissa anadema (Prout, 1930)",,
ナミスジコアオシャク,"Idiochlora ussuriaria (Bremer, 1864)",,
オキナワコアオシャク,"Idiochlora minuscula (Inoue, 1986)",,
ヒメアオシャク,"Idiochlora takahashii (Inoue, 1982)",,
ヘリアカトガリアオシャク,"Pamphlebia rubrolimbraria (Guenée, 1858)",,
マルバネヘリアカトガリアオシャク,"Pamphlebia rotunda Kaneko & Funakoshi, 2018",,
アカアシアオシャク,"Culpinia diffusa (Walker, 1861)",,
ハガタアオシャク,"Thalera rubrifimbria Inoue, 1990",,
ウラジロアオシャク,"Spaniocentra hollowayi Inoue, 1986",,
ヨツモンマエジロアオシャク,"Comibaena procumbaria (Pryer, 1877)",,
アマミヨツモンアオシャク,"Comibaena insulana Inoue, 1986",,
ヨツテンアオシャク,"Comibaena diluta (Warren, 1895)",,
ヘリジロヨツメアオシャク,"Comibaena amoenaria (Oberthür, 1880)",,
ギンスジアオシャク,"Comibaena argentataria (Leech, 1897)",,
クロモンアオシャク,"Comibaena delicatior (Warren, 1897)",,
ミナミクロモンアオシャク,"Comibaena subdelicata Inoue, 1986",,
カラフトウスアオシャク,"Comibaena ingrata (Wileman, 1911)",,
ナミガタフタスジアオシャク,"Thetidia smaragdaria (Fabricius, 1787)",,
ヨツメアオシャク,"Thetidia albocostaria (Bremer, 1864)",,
コシロスジアオシャク,"Hemistola veneta (Butler, 1879)",,
ヘリクロテンアオシャク,"Hemistola dijuncta (Walker, 1861)",,
ハガタキスジアオシャク,"Hemistola tenuilinea (Alphéraky, 1897)",,
チビムジアオシャク,"Mujiaoshakua plana (Wileman, 1911)",,
コヨツメアオシャク,"Comostola subtiliaria (Bremer, 1864)",,
アカホシヒメアオシャク,"Comostola rubripunctata (Warren, 1909)",,
アカヘリミズアオシャク,"Comostola pyrrhogona (Walker, 1866)",,
アカヘリヒメアオシャク,"Eucrostes disparata Walker, 1861",,
シロモンアオヒメシャク,"Dithecodes erasa Warren, 1900",,
フタナミトビヒメシャク,"Pylargosceles steganioides (Butler, 1878)",,
