row,record_id,insect_id,plant_name,filled_family,ylist_canonical,ylist_scientific_name,factcheck_source
12828,hostplant-B1B6-0726,species-3835,ツルウメモドキ,ニシキギ科,ツルウメモドキ,Celastrus orbiculatus var. orbiculatus,public/assets/data-lite/ylist-lite.json
12829,hostplant-B1B6-0727,species-3835,コマユミ,ニシキギ科,コマユミ,Euonymus alatus f. striatus,public/assets/data-lite/ylist-lite.json
12830,hostplant-B1B6-0728,species-3835,マユミ,ニシキギ科,マユミ,Euonymus sieboldianus var. sieboldianus,public/assets/data-lite/ylist-lite.json
12831,hostplant-B1B6-0729,species-3835,ニシキギ,ニシキギ科,ニシキギ,Euonymus alatus f. alatus,public/assets/data-lite/ylist-lite.json
12840,hostplant-B1B6-0739,species-3840,モミ,マツ科,モミ,Abies firma,public/assets/data-lite/ylist-lite.json
12841,hostplant-B1B6-0741,species-3843,アセビ,ツツジ科,アセビ,Pieris japonica subsp. japonica,public/assets/data-lite/ylist-lite.json
12842,hostplant-B1B6-0742,species-3843,ミツバツツジ,ツツジ科,ホンミツバツツジ,Rhododendron dilatatum subsp. dilatatum var. dilatatum,public/assets/data-lite/ylist-lite.json
12843,hostplant-B1B6-0743,species-3605,ヤマモミジ,ムクロジ科,ヤマモミジ,Acer amoenum var. matsumurae,public/assets/data-lite/ylist-lite.json
12844,hostplant-B1B6-0744,species-3605,カラコギカエデ,ムクロジ科,カラコギカエデ,Acer tataricum subsp. aidzuense,public/assets/data-lite/ylist-lite.json
12847,hostplant-B1B6-0747,species-3845,ヤマツツジ,ツツジ科,ヤマツツジ,Rhododendron kaempferi var. kaempferi,public/assets/data-lite/ylist-lite.json
12856,hostplant-B1B6-0756,species-3850,スギ,ヒノキ科,スギ,Cryptomeria japonica,public/assets/data-lite/ylist-lite.json
12857,hostplant-B1B6-0757,species-3850,ヒノキ,ヒノキ科,ヒノキ,Chamaecyparis obtusa,public/assets/data-lite/ylist-lite.json
12858,hostplant-B1B6-0758,species-3850,ヒバ,ヒノキ科,ヒノキアスナロ,Thujopsis dolabrata var. hondae,public/assets/data-lite/ylist-lite.json
