src_insect_id,no,japanese_name,scientific_name,atlas_key,hostplants,candidate_count,candidates,candidate_scientific_names,candidate_japanese_names,candidate_scores,candidate_reasons,status
species-21645,78,エンドウヒゲナガアブラムシ,Acyrthosiphon pisum (Harris),Acyrthosiphon pisum,エンドウ / シロツメクサ / スイートピー / ハマエンドウほか多数,0,,,,,,no_candidates
species-21646,79,ジャガイモヒゲナガアブラムシ,Acyrthosiphon solani (Kaltenbach),Acyrthosiphon solani,多種の植物,1,species-21331,Aulacorthum solani,1843),30,accepted-epithet,has_candidates
species-21647,80,アザミキイロヒゲナガアブラムシ,Acyrthosiphon vandenboschi Hille Ris Lambers,Acyrthosiphon vandenboschi,ノアザミ,1,species-21334,"Aulacorthum vandenboschi Aulacorthum (Aulacorthum) vandenboschi Hille Ris Lambers, 1967",アザキヒロヒゲナガアブラムシ,30,accepted-epithet,has_candidates
species-21648,81,,Acyrthosiphon sp. A,Acyrthosiphon sp. A,成葉の裏面,0,,,,,,unresolvable_sp
species-21649,82,,Acyrthosiphon sp. B,Acyrthosiphon sp. B,茎,0,,,,,,unresolvable_sp
species-21656,89,,Hydronaphis sp.,Hydronaphis sp.,根,0,,,,,,unresolvable_sp
species-21657,90,ウツギトックリアブラムシ,Rhopalosiphoninus deutzifoliae Shinji,Rhopalosiphoninus deutzifoliae,ウツギ,0,,,,,,no_candidates
species-21658,91,,Rhopalosiphoninus sp.,Rhopalosiphoninus sp.,生長部の茎と葉裏,0,,,,,,unresolvable_sp
species-21660,93,ヨメナコブアブラムシ,Myzus asteriae Shinji,Myzus asteriae,ヨメナ,0,,,,,,no_candidates
species-21661,94,カラムシコブアブラムシ,Myzus boehmeriae Takahashi,Myzus boehmeriae,ヤブマオ / コアカソ,0,,,,,,no_candidates
species-21662,95,ニワウメクロコブアブラムシ,Myzus cerasi (Fabricius),Myzus cerasi,ウメ / ニワウメ / カワラヨモギ,0,,,,,,no_candidates
species-21663,96,カンゾウコブアブラムシ,Myzus hemerocallidis Takahashi,Myzus hemerocallidis,ワスレグサ属の植物,0,,,,,,no_candidates
species-21664,97,ワダンコブアブラムシ,Myzus lactucicola Takahashi,Myzus lactucicola,ホソバワダン / ヤクシソウ,0,,,,,,no_candidates
species-21666,99,ウメコブアブラムシ,Myzus mumecola (Matsumura),Myzus mumecola,アンズ / ウメ,0,,,,,,no_candidates
species-21667,100,ムシャコブアブラムシ,Myzus mushaensis Takahashi,Myzus mushaensis,ソメイヨシノ / サトザクラ / オオシマザクラ / ヒカンオヨシ,0,,,,,,no_candidates
species-21668,101,モモアカアブラムシ,Myzus persicae (Sulzer),Myzus persicae,モモ / アブラナ / カリフラワー / キャベツ / ジャガイモ / タバコ,0,,,,,,no_candidates
species-21670,103,ヒキオコシコブアブラムシ,Myzus siegesbeckiae Takahashi,Myzus siegesbeckiae,サクラ類 / ヒキオコシ,0,,,,,,no_candidates
