kind,insect_id,normalized_japanese_name,public_japanese_name,normalized_scientific_name,public_scientific_name
"mismatch","species-2337","オオヘリホシヒメハマキ","オオヘリホシヒメハマキ","Dichrorampha sp. of Oku, 2003","Dichrorampha sp. of Oku, 2003"
"mismatch","species-2393","アオグロヒメハマキ","アオグロヒメハマキ","Pammene sp. 2 of Oku, 2003","Pammene sp. 2 of Oku, 2003"
"mismatch","species-2394","コホソバヒメシンクイ","コホソバヒメシンクイ","Pammene sp. 3 of Oku, 2003","Pammene sp. 3 of Oku, 2003"
"mismatch","species-2395","マルバネクロヒメハマキ","マルバネクロヒメハマキ","Pammene sp. 4 of Oku, 2003","Pammene sp. 4 of Oku, 2003"
"mismatch","species-2409","マヤプシキヒメシンクイ","マヤプシキヒメシンクイ","Centroxena sp. of Kinjo, Azuma & Katada, 2003","Centroxena sp. of Kinjo, Azuma & Katada, 2003"
"mismatch","species-2433","オヒルギツボミヒメハマキ","オヒルギツボミヒメハマキ","Cydia sp. of Kinjo, Azuma & Katada, 2002","Cydia sp. of Kinjo, Azuma & Katada, 2002"
"mismatch","species-2477","シダシロコガ","シダシロコガ","Gen. sp, of Suzuki, et al., 2018","Gen. sp, of Suzuki, et al., 2018"
"mismatch","species-2533","トミナガトリバ","トミナガトリバ","Sphenarches sp. of Mano, 2013","Sphenarches sp. of Mano, 2013"
"mismatch","species-2566","ソウシジュニセハマキ","ソウシジュニセハマキ","Imma sp. of Nasu, 2013","Imma sp. of Nasu, 2013"
"mismatch","species-2576","ウスグロシンクイ","ウスグロシンクイ","Carposina sp. of Nasu, 2013","Carposina sp. of Nasu, 2013"
"mismatch","species-2582","ツマグロシロシンクイ","ツマグロシロシンクイ","Heterogymna sp. of Nasu, 2013","Heterogymna sp. of Nasu, 2013"
"mismatch","species-2620","クロモンシタキツヅリガ","クロモンシタキツヅリガ","Tirathaba sp. of Inoue, 1984","Tirathaba sp. of Inoue, 1984"
"mismatch","species-2730","ナツメマダラメイガ","ナツメマダラメイガ","Acrobasis sp. of Yoshiyasu, 2011","Acrobasis sp. of Yoshiyasu, 2011"
"mismatch","species-2826","ヤシャブシマダラメイガ","ヤシャブシマダラメイガ","Cryptoblabes sp. of Yoshiyasu, 2011","Cryptoblabes sp. of Yoshiyasu, 2011"
"mismatch","species-2857","ミサキホソマダラメイガ","ミサキホソマダラメイガ","Phycitodes sp. of Inoko, Komatsu & Kameda, 2002","Phycitodes sp. of Inoko, Komatsu & Kameda, 2002"
"mismatch","species-3068","ハネホソトガリミズメイガ","ハネホソトガリミズメイガ","Eristena sp. of Yoshiyasu, 2013","Eristena sp. of Yoshiyasu, 2013"
"mismatch","species-3185","ツワブキノメイガ","ツワブキノメイガ","Ostrinia sp. of Yoshiyasu, 2011","Ostrinia sp. of Yoshiyasu, 2011"
"mismatch","species-3219","ヒメアヤナミノメイガ","ヒメアヤナミノメイガ","Eurrhyparodes sp. of Sasaki & Yamanaka, 2013","Eurrhyparodes sp. of Sasaki & Yamanaka, 2013"
"mismatch","species-3253","ホソバソトグロキノメイガ","ホソバソトグロキノメイガ","Analthes sp. of Sasaki & Yamanaka, 2013","Analthes sp. of Sasaki & Yamanaka, 2013"
"mismatch","species-3281","ホソバクロノメイガ","ホソバクロノメイガ","Gen. sp. of Sasaki, 2004","Gen. sp. of Sasaki, 2004"
"mismatch","species-3323","マルハクロノメイガ","マルハクロノメイガ","Syllepte sp. of Sasaki, 2004","Syllepte sp. of Sasaki, 2004"
