file,row,record_id,plant_name,before,after,canonical
public/hostplants.csv,2925,hostplant-003036,シオデ,ユリ科,サルトリイバラ科,シオデ
public/hostplants.csv,2934,hostplant-003046,モクタチバナ,ヤブコウジ科,サクラソウ科,モクタチバナ
public/hostplants.csv,2936,hostplant-003048,レンブ,ウコギ科,フトモモ科,オオフトモモ
public/hostplants.csv,2944,hostplant-003056,ムラサキケマン,,ケシ科,ムラサキケマン
public/hostplants.csv,2973,hostplant-003086,ヘビノボラズ,,メギ科,ヘビノボラズ
public/hostplants.csv,2981,hostplant-003094,リュウキュウコクタン,,カキノキ科,ヤエヤマコクタン
public/hostplants.csv,2984,hostplant-003097,マメガキ,,カキノキ科,マメガキ
public/hostplants.csv,2996,hostplant-003109,ハチジョウクサイチゴ,,バラ科,ハチジョウクサイチゴ
public/hostplants.csv,2998,hostplant-003111,カジイチゴ,,バラ科,カジイチゴ
public/hostplants.csv,3011,hostplant-003124,シナノキ,シナノキ科,アオイ科,シナノキ
public/hostplants.csv,3014,hostplant-003127,テリハボク,オトギリソウ科,テリハボク科,テリハボク
public/hostplants.csv,3076,hostplant-003189,エノキ,ニレ科,アサ科,エノキ
public/hostplants.csv,3078,hostplant-003191,ハマニンニク,カヤツリグサ科,イネ科,テンキグサ
public/hostplants.csv,3080,hostplant-003193,キハギ,,マメ科,キハギ
public/hostplants.csv,3086,hostplant-003199,イワオウギ,,マメ科,イワオウギ
public/hostplants.csv,3093,hostplant-003206,シロツメクサ,,マメ科,シロツメクサ
public/hostplants.csv,3100,hostplant-003213,アカギ,,コミカンソウ科,アカギ
public/hostplants.csv,3101,hostplant-003214,ヤマヒハツ,トウダイグサ科,コミカンソウ科,ヤマヒハツ
public/hostplants.csv,3109,hostplant-003222,コミカンソウ,,コミカンソウ科,コミカンソウ
public/hostplants.csv,3110,hostplant-003223,オガサワラミカンソウ,,コミカンソウ科,オガサワラコミカンソウ
public/hostplants.csv,3111,hostplant-003224,ブラジルコミカンソウ,トウダイグサ科,コミカンソウ科,ナガエコミカンソウ
public/hostplants.csv,3112,hostplant-003225,ヒメミソハギ,,ミソハギ科,ヒメミソハギ
public/hostplants.csv,3113,hostplant-003226,ホソバヒメミソハギ,,ミソハギ科,ホソバヒメミソハギ
public/hostplants.csv,3115,hostplant-003228,ザクロ,ザクロ科,ミソハギ科,ザクロ
public/hostplants.csv,3116,hostplant-003229,コミカンソウ,,コミカンソウ科,コミカンソウ
public/hostplants.csv,3117,hostplant-003230,キダチコミカンソウ,トウダイグサ科,コミカンソウ科,キダチコミカンソウ
public/hostplants.csv,3127,hostplant-003240,ツルマメ,,マメ科,ツルマメ
public/hostplants.csv,3146,hostplant-003259,ナツフジ,,マメ科,ナツフジ
public/hostplants.csv,3178,hostplant-003291,ハチジョウクサイチゴ,,バラ科,ハチジョウクサイチゴ
public/hostplants.csv,3179,hostplant-003292,ニガイチゴ,,バラ科,ニガイチゴ
public/hostplants.csv,3187,hostplant-003300,カゴノキ,,クスノキ科,カゴノキ
public/hostplants.csv,3189,hostplant-003302,アオガシ,,クスノキ科,アオガシ
public/hostplants.csv,3202,hostplant-003315,クスノハカエデ,カエデ科,ムクロジ科,クスノハカエデ
public/hostplants.csv,3225,hostplant-003338,カテンソウ,,イラクサ科,カテンソウ
public/hostplants.csv,3231,hostplant-003344,アオミズ,,イラクサ科,アオミズ
public/hostplants.csv,3234,hostplant-003347,アワユキセンダングサ,,キク科,オオバナノセンダングサ
public/hostplants.csv,3235,hostplant-003348,コセンダングサ,,キク科,コセンダングサ
public/hostplants.csv,3238,hostplant-003351,アズマギク,,キク科,アズマギク
public/hostplants.csv,3239,hostplant-003352,エゾギク,,キク科,サツマギク
public/hostplants.csv,3240,hostplant-003353,シオン,,キク科,シオン
public/hostplants.csv,3242,hostplant-003355,ヤマアザミ,,キク科,ヤマアザミ
public/hostplants.csv,3253,hostplant-003366,コオニタビラコ,,キク科,コオニタビラコ
public/hostplants.csv,3259,hostplant-003372,アキノノゲシ,,キク科,アキノノゲシ
public/hostplants.csv,3263,hostplant-003376,エゾギク,,キク科,サツマギク
public/hostplants.csv,3264,hostplant-003377,ヒメジョオン,,キク科,ヒメジョオン
public/hostplants.csv,3265,hostplant-003378,アレチノギク,,キク科,アレチノギク
public/hostplants.csv,3266,hostplant-003379,キンセンカ,,キク科,トウキンセンカ
public/hostplants.csv,3284,hostplant-003397,カラシナ,,アブラナ科,カラシナ
public/hostplants.csv,3289,hostplant-003402,ネギ,ネギ科,ヒガンバナ科,ネギ
public/hostplants.csv,3291,hostplant-003404,テンサイ,ヒエ科,ヒユ科,テンサイ
public/hostplants.csv,3299,hostplant-003412,ツルマメ,,マメ科,ツルマメ
public/hostplants.csv,3300,hostplant-003413,スイートピー,,マメ科,スイートピー
public/hostplants.csv,3314,hostplant-003427,カラスウリ,,ウリ科,カラスウリ
public/hostplants.csv,3316,hostplant-003429,ヘチマ,,ウリ科,ヘチマ
public/hostplants.csv,3323,hostplant-003436,オドリコソウ,,シソ科,オドリコソウ
public/hostplants.csv,3334,hostplant-003447,アズマギク,,キク科,アズマギク
public/hostplants.csv,3335,hostplant-003448,エゾギク,,キク科,サツマギク
public/hostplants.csv,3337,hostplant-003450,セイヨウノコギリソウ,,キク科,セイヨウノコギリソウ
public/hostplants.csv,3339,hostplant-003452,ニイタカヨモギ,,キク科,ニイタカヨモギ
