insect_id,japanese_name,scientific_name,reason
species-3754,シモフリトゲエダシャク,"Phigalia sinuosaria Leech, 1897",not_in_input
species-3755,ウスシモフリトゲエダシャク,"Phigalia djakonovi Moltrecht, 1933",not_in_input
species-3756,シロトゲエダシャク,"Phigalia verecundaria (Leech, 1897)",not_in_input
species-3757,フチグロトゲエダシャク,"Nyssiodes lefuarius (Erschoff, 1872)",not_in_input
species-3758,カバシタムクゲエダシャク,"Sebastosema bubonaria Warren, 1896",not_in_input
species-3759,オカモトトゲエダシャク,"Apochima juglansiaria (Graeser, 1889)",not_in_input
species-3760,クワトゲエダシャク,"Apochima excavata (Dyar, 1905)",not_in_input
species-3761,キイロトゲエダシャク,"Apochima praeacutaria (Inoue, 1976)",not_in_input
species-3762,ムクゲエダシャク,"Lycia hirtaria (Clerck, 1759)",not_in_input
species-3763,チャエダシャク,"Megabiston plumosaria (Leech, 1891)",not_in_input
species-3764,アシズリエダシャク,"Megabiston ashizuriensis Sato & Kawakami, 2001",not_in_input
species-3765,チャオビトビモンエダシャク,"Biston strataria (Hufnagel, 1767)",not_in_input
species-3766,フタオレウスグロエダシャク,"Biston thoracicaria (Oberthür, 1884)",not_in_input
species-3767,オオシモフリエダシャク,"Biston betularia (Linnaeus, 1758)",not_in_input
species-3768,クロズエダシャク,"Biston marginata Shiraki, 1913",not_in_input
species-3769,トビモンオオエダシャク,"Biston robustum Butler, 1879",not_in_input
species-3770,タケウチエダシャク,"Biston takeuchii Matsumura, 1931",not_in_input
species-3771,シロシモフリエダシャク,"Biston melacron Wehrli, 1941",not_in_input
species-3772,ハイイロオオエダシャク,"Biston regalis (Moore, 1888)",not_in_input
species-3773,キオビゴマダラエダシャク,"Biston panterinaria (Bremer & Grey, 1853)",not_in_input
species-3774,ウスイロオオエダシャク,"Amraica superans (Butler, 1878)",not_in_input
species-3775,アサヒナオオエダシャク,"Amraica asahinai (Inoue, 1964)",not_in_input
species-3776,サキシマオオエダシャク,"Amraica kimurai Sato, 2003",not_in_input
species-3777,アミメオオエダシャク,"Mesastrape fulguraria (Walker, 1860)",not_in_input
species-3778,ニッコウエダシャク,"Lassaba nikkonis (Butler, 1881)",not_in_input
species-3779,ウスズミエダシャク,"Lassaba fuliginosa (Inoue & Sato, 1986)",not_in_input
species-3780,カバエダシャク,"Colotois pennaria (Linnaeus, 1761)",not_in_input
species-3781,ハスオビエダシャク,"Descoreba simplex Butler, 1878",not_in_input
species-3782,ニトベエダシャク,"Wilemania nitobei (Nitobe, 1907)",not_in_input
species-3783,アトジロエダシャク,"Pachyligia dolosa Butler, 1878",not_in_input
species-3784,キイロエダシャク,"Doratoptera virescens (Marumo, 1923)",not_in_input
species-3785,ナンカイキイロエダシャク,"Doratoptera amabilis (Yazaki, 1988)",not_in_input
species-3786,ヒロバトガリエダシャク,"Planociampa antipala Prout, 1930",not_in_input
species-3787,ホソバトガリエダシャク,"Planociampa modesta (Butler, 1878)",not_in_input
species-3788,スモモエダシャク,"Angerona prunaria (Linnaeus, 1758)",not_in_input
species-3789,ゴマフキエダシャク,"Angerona nigrisparsa Butler, 1879",not_in_input
species-3790,ツマトビキエダシャク,"Bizia aexaria Walker, 1860",not_in_input
species-3791,ミヤタツマトビキエダシャク,"Bizia akiramiyatai Sato & Nozaki, 2015",not_in_input
species-3792,オイワケキエダシャク,"Exangerona prattiaria (Leech, 1891)",not_in_input
species-3793,ウスクモエダシャク,"Menophra senilis (Butler, 1878)",not_in_input
