和名,学名,成虫時期,生態の備考
ノンネマイマイ,"Lymantria monacha (Linnaeus, 1758)",7月～8月,"""年1化。卵越冬。""。寄主植物: クヌギ、ブナ (以上ブナ科)、シラカンバ (カバノキ科)、マツ類、カラマツ (以上マツ科)"
ミノオマイマイ,"Lymantria minomonis (Matsumura, 1933)",4月下旬から5月上旬,"""年1化。""。寄主植物: アラカシ (ブナ科)"
オオヤママイマイ,"Lymantria lucescens (Butler, 1881)",8月～9月,"""年1化。""。寄主植物: クヌギ (ブナ科)"
マエグロマイマイ,"Lymantria xylina (Swinhoe, 1903)",6月～7月,"""年1化。""。寄主植物: イスノキ (マンサク科)、アカギ、オオシマコバンノキ (以上コミカンソウ科)、モクマオウ (モクマオウ科)、サカキ (サカキ科)、ホルトノキ (ホルトノキ科)"
バンタイマイマイ,"Lymantria bantaizana Matsumura, 1933",7月～8月,"""年1化。卵越冬。""。寄主植物: サワグルミ、オニグルミ、カシグルミ (以上クルミ科)"
ハラアカマイマイ,"Lymantria fumida (Butler, 1877)",7月～8月,"""年1化。卵越冬。""。寄主植物: モミ、カラマツ (以上マツ科)"
カシワマイマイ,"Lymantria mathura (Moore, 1865)",7月～9月,"""年1化。卵越冬。""。寄主植物: カシワ、クヌギ、コナラ、クリ (以上ブナ科)、サクラ、リンゴ、ナシ (以上バラ科)、ハゼノキ (ウルシ科)、ケヤキ (ニレ科)、イスノキ (マンサク科)、モクマオウ (モクマオウ科)"
スキバドクガ,"Perina nuda (Fabricius, 1787)",3月～8月,"""イチジク。""。寄主植物: オオイタビ、ガジュマル (以上クワ科)"
フタホシドクガ,"Nygmia staudingeri (Leech, 1889)",7月～8月・9月～10月,"""年2化。""。寄主植物: 未知"
マガリキドクガ,"Nygmia curvata (Wileman, 1911)",7月～8月・10月,"""年2化。""。寄主植物: 未知"
ドクガ,"Artaxa subflava (Bremer, 1864)",6月～8月,"""年1化。若齢幼虫越冬。""。寄主植物: サクラ、ウメ、バラ、ズミ (以上バラ科)、クヌギ、コナラ、クリ (以上ブナ科)、イタドリ (タデ科)、アカメガシワ (トウダイグサ科)、カキノキ (カキノキ科)、グラジオラス (アヤメ科)、ヤブマオ (イラクサ科)"
サカグチキドクガ,"Artaxa sakaguchii (Matsumura, 1927)",6月～8月・10月,"""スダジイ (ブナ科)。""。寄主植物: ホウロクイチゴ (バラ科)"
カンシキドクガ,"Artaxa kanshireia (Wileman, 1911)",9月上旬,"""未知。""。寄主植物: 未知"
キドクガ,"Kidokuga piperita (Oberthür, 1880)",6月～8月,"""年1化。""。寄主植物: ヤシャブシ (カバノキ科)、ヤマナラシ (ヤナギ科)、マンサク (マンサク科)、リョウブ (リョウブ科)、ハクウンボク (エゴノキ科)、ツツジ、タニウツギ (スイカズラ科)、クスギ (ブナ科)、カジカエデ (ムクロジ科)"
トラサンドウクガ,Kidokuga torasan,5月・7月～8月,"""年2化。""。寄主植物: クスギ (ブナ科)"
モンシロドクガ,"Sphrageidus similis (Fuessly, 1775)",5月～6月・8月～9月,"""年2化。幼虫越冬。""。寄主植物: サクラ、リンゴ、ウメ、ソメイヨシノ (以上バラ科)、クワ類 (クワ科)、カキノキ (カキノキ科)、クリ、コナラ、クヌギ (以上ブナ科)、フジ、ネムノキ (以上マメ科)、イヌザンショウ (ミカン科)、ジャガイモ (ナス科)、クチナシ (アカネ科)、イタドリ (タデ科)、オニグルミ (クルミ科)"
タイワンキドクガ,"Orvasca taiwana (Shiraki, 1913)",5月～6月,"""ダイコン (アブラナ科)。""。寄主植物: ゴボウ (キク科)、バラ (バラ科)、トウマ (トウダイグサ科)"
ゴマフリドクガ,"Somena pulverea (Leech, 1889)",5月・7月～8月,"""年2化。""。寄主植物: ヒサカキ (サカキ科)、サクラ類、バラ (バラ科)、ハリエンジュ、ニセアカシア (マメ科)、ケタデ (タデ科)、マルヤマカンコノキ (コミカンソウ科)、シマザサ (キネ科)、リュウキュウボタンヅル (キンポウゲ科)、イジュ (ツバキ科)"
チャドクガ,"Arna pseudoconspersa (Strand, 1914)",6月～7月・10月,"""年2化。卵越冬。""。寄主植物: チャノキ、ツバキ、サザンカ (以上ツバキ科)"
クロミャクホソバ,"Pelosia ramosula (Staudinger, 1887)",7月～8月,"""年1化。""。寄主植物: 地衣類"
クロスジホソバ,"Pelosia noctis (Butler, 1881)",5月～6月・8月～9月,"""年2化。""。寄主植物: 地衣類"
ネズミホソバ,"Pelosia angusta (Staudinger, 1887)",7月～8月,"""年1化。""。寄主植物: 地衣類"
ホシホソバ,"Pelosia muscerda (Hufnagel, 1766)",6月～8月,"""年1化。""。寄主植物: 苔類"
トカラホソバ,"Pelosia tokaraensis (Kishida, 1993)",6・7・10月,寄主植物: 地衣類
ヒメクロスジホソバ,"Pelosia obtusa (Herrich-Schäffer, 1852)",6月・8月,"""年2化。""。寄主植物: 未知"
キシタホソバ,"Eilema vetusta (Walker, 1854)",5月～9月,"""年1-3化。幼虫越冬。""。寄主植物: 地衣類"
ウスキシタホソバ,"Eilema griseola (Hübner, 1803)",8月,寄主植物: 地衣類
ミヤマキベリホソバ,"Eilema okanoi (Inoue, 1961)",8月,"""未知。""。寄主植物: 未知"
ムジホソバ,"Eilema deplana (Esper, 1787)",6月～9月,"""年1化または2化。""。寄主植物: 地衣類"
シタグロホソバ,Eilema flavociliata,8月,"""未知。""。寄主植物: 未知"
ツマキホソバ,"Eilema laevis (Butler, 1877)",5月～8月,"""年2化。""。寄主植物: 地衣類"
キマエホソバ,"Eilema japonica (Leech, 1889)",5月～9月,"""年2化。""。寄主植物: 地衣類、アラカシ (ブナ科)"
ヒメキマエホソバ,"Eilema gina (Okano, 1955)",6月～9月,"""未知。""。寄主植物: 未知"
シロホソバ,"Eilema degenerella (Walker, 1863)",5月～8月,"""年2化。""。寄主植物: 地衣類"
ヤネホソバ,"Eilema fuscodorsalis (Matsumura, 1930)",4月～9月,"""年3-4化。""。寄主植物: 地衣類、苔類"
ニセキマエホソバ,"Eilema nankingica (Daniel, 1954)",6月～8月,"""年2化。""。寄主植物: 未知"
オキナワキホソバ,"Eilema hiroshiinouei (Kishida, 2009)",7月・9月,"""未知。""。寄主植物: 未知"
ヒメツマキホソバ,"Eilema minor (Okano, 1955)",6月～8月,"""年2化。""。寄主植物: 未知"
キムジホソバ,"Eilema affineola (Bremer, 1864)",7月～8月,"""未知。""。寄主植物: 未知"
ヒメキホソバ,"Dolgoma cribrata (Staudinger, 1887)",5月～6月・8月～9月,"""年2化。""。寄主植物: 地衣類、苔類"
アマミキホソバ,"Brunia antica (Walker, 1854)",2月～9月,"""多化。""。寄主植物: 未知"
リュウキュウムジホソバ,"Tigrioides pallens (Inoue, 1980)",3月～10月,"""未知。""。寄主植物: 未知"
ナガサキムジホソバ,"Tigrioides immaculatus (Butler, 1880)",3月～11月,"""未知。""。寄主植物: 未知"
ルリモンホソバ,"Chrysaeglia magnifica (Walker, 1862)",6月頃,"""年3回。""。寄主植物: 地衣類"
モンシロホソバ,"Vamuna alboluteola (Rothschild, 1912)",5月・7月,"""未知。""。寄主植物: 未知"
ゴマフオオホソバ,"Agrisius japonicus Leech, [1889]",6月～8月,"""年1化。""。寄主植物: 地衣類"
クビワウスグロホソバ,"Macrobrochis staudingeri (Alphéraky, 1897)",6月～7月,"""年1化。""。寄主植物: クスギ、アラカシ (以上ブナ科)、ツバキ (ツバキ科)、タブノキ (クスノキ科)"
キマエクロホソバ,"Ghoria collitoides (Butler, 1885)",6月～8月,"""年1化。""。寄主植物: 未知"
キベリネズミホソバ,"Ghoria gigantea (Oberthür, 1879)",6月～7月,"""年1化。""。寄主植物: タニウツギ (スイカズラ科)、苔類"
ヨツボシホソバ,"Lithosia quadra (Linnaeus, 1758)",6月～9月,"""年1化または2化。幼虫越冬。""。寄主植物: 地衣類、アラカシ (ブナ科)"
マエグロホソバ,"Conilepia nigricosta (Leech, 1889)",6月～7月・9月,"""年2化。""。寄主植物: 未知"
アカスジシロコケガ,"Cyana hamata (Walker, 1854)",6月～9月,"""年2化。""。寄主植物: 地衣類"
ヒトテンアカスジコケガ,"Cyana unipunctata (Elwes, 1890)",7・8・11月,"""未知。""。寄主植物: 未知"
キスジシロコケガ,"Cyana harterti (Elwes, 1890)",ほぼ1年中,"""未知。""。寄主植物: 未知"
ウスクロスジチビコケガ,"Stictane obscura (Inoue, 1976)",5月～6月・8月,"""未知。""。寄主植物: 未知"
クロスジチビコケガ,"Stictane rectilinea (Snellen, 1879)",3月～11月,"""未知。""。寄主植物: 未知"
ウスグロコケガ,"Siccia obscura (Leech, 1889)",6月～8月,寄主植物: 地衣類
シロオビクロコケガ,"Siccia minuta (Butler, 1881)",6月～8月,寄主植物: 地衣類
シカタコケガ,"Siccia shikatai (Kishida, 2010)",6月～7月,"""未知。""。寄主植物: 未知"
キムラコケガ,"Siccia kimurai (Kishida, 2010)",4月・9月,"""未知。""。寄主植物: 未知"
クロモンエグリコケガ,"Garudinia bimaculata (Rothschild, 1912)",3月～9月,"""未知。""。寄主植物: 未知"
バイバラホシコケガ,"Aemene sordida (Butler, 1877)",5月,"""未知。""。寄主植物: 未知"
クロテンシロコケガ,"Aemene fukudai (Inoue, 1965)",7月～8月,"""未知。""。寄主植物: 未知"
ホシオビコケガ,Aemene altaica,5月～6月・7月～10月,"""年2化。幼虫越冬。""。寄主植物: 地衣類"
オオベニヘリコケガ,"Melanaema venata (Butler, 1877)",6月・8月～9月,"""年2-3化。""。寄主植物: 未知"
クシヒゲコケガ,"Thumatha ochracea (Bremer, 1861)",7月～8月,"""未知。""。寄主植物: 未知"
クロスジコケガ,"Thumatha muscula (Staudinger, 1887)",5月・7月,"""未知。""。寄主植物: 未知"
クロスジコケガ,"Thumatha muscula (Staudinger, 1887)",7月～8月,"""未知。""。寄主植物: 未知"
ハイイロヒトリ,"Creatonotos transiens (Walker, 1855)",5月～6月・8月～9月,"""年2化。""。寄主植物: クワ、イチジク、ギシギシ、イタドリ、クズ、シロツメクサ、オオバコ、ヨモギ、タンポポ類、ノゲシ、キャベツ"
ムモンウスキコケガ,"Neasura melanopyga (Hampson, 1918)",ほぼ1年中,"""未知。""。寄主植物: 苔類"
マエベニコケガ,"Nipponasura sanguinea (Inoue, 1965)",ほぼ1年中,"""未知。""。寄主植物: 未知"
チビコケガ,"Mithuna fuscivena (Hampson, 1896)",ほぼ1年中,"""未知。""。寄主植物: 未知"
チャオビチビコケガ,"Philenora latifasciata (Inoue & Kobayashi, 1963)",6月～10月,"""未知。""。寄主植物: 未知"
キベリチビコケガ,"Diduga flavicostata (Snellen, 1878)",3月～9月,寄主植物: 苔類
クロテンハイイロコケガ,"Eugoa grisea (Butler, 1877)",6月・8月～9月,"""年2化。""。寄主植物: 地衣類"
フタオビコケガ,"Eugoa basipuncta (Hampson, 1891)",3・5・7・8月,"""未知。""。寄主植物: 未知"
ウスバフタホシコケガ,"Schistophleps bipuncta (Hampson, 1891)",5月・7月～8月,"""未知。""。寄主植物: 未知"
ウスカバフコケガ,Nudaria unifascia,ほぼ1年中,"""未知。""。寄主植物: 未知"
スカシコケガ,"Nudaria ranruna (Matsumura, 1927)",7月～10月,"""アラカシ (ブナ科)。""。寄主植物: ミミズバイ (ハイノキ科)、ヒサカキ、サカキ (以上サカキ科)"
ゴマダラキコケガ,"Stigmatophora leacrita (Swinhoe, 1894)",6月～7月・8月～9月,"""年2化。""。寄主植物: 地衣類、苔類"
モンクロベニコケガ,"Stigmatophora rhodophila (Walker, 1865)",6月～7月・8月,"""年2化。""。寄主植物: 地衣類、苔類"
フタホシコケガ,Nudina artaxidia,6月～7月,"""未知。""。寄主植物: 未知"
ゴマダラベニコケガ,"Barsine pulchra (Butler, 1877)",5月～9月,"""数回発生。""。寄主植物: 未知"
スジベニコケガ,"Barsine striata (Bremer & Grey, [1852])",5月～9月,"""数回発生。""。寄主植物: 地衣類、苔類"
ハガタベニコケガ,"Barsine aberrans (Butler, 1877)",5月～9月,"""年3回。""。寄主植物: 地衣類"
サキシマベニコケガ,"Barsine expressa (Inoue, 1988)",3・7・10月,"""ほぼ1年中。""。寄主植物: 未知"
アマミハガタベニコケガ,"Miltochrista ziczac (Walker, 1856)",4月・8月,"""未知。""。寄主植物: 未知"
ハガタキコケガ,"Miltochrista calamina (Butler, 1877)",5月～9月,"""フジ (マメ科)。""。寄主植物: 地衣類"
ベニヘリコケガ,"Miltochrista miniata (Forster, 1771)",5月～9月,"""年2-3化。""。寄主植物: 地衣類"
スジマガリベニコケガ,"Asuridia carnipicta (Butler, 1877)",7月～8月,"""未知。""。寄主植物: 未知"
ヒメホシキコケガ,"Lyclene dharma (Moore, 1879)",3月～9月,寄主植物: カナメモチ (バラ科)
ヤクシマキコケガ,"Lyclene alikangiae (Strand, 1917)",3・5・6・7・8月,"""未知。""。寄主植物: 未知"
トラガモドキ,"Nikaea matsumurai (Kishida, 1983)",10月～11月・3月～4月,"""未知。""。寄主植物: 未知"
トラフヒトリ,"Aglaomorpha histrio (Walker, 1855)",5月～6月・7月～9月,"""年2化。""。寄主植物: ウメ (バラ科)、イタドリ (タデ科)、ツバキ類 (ツバキ科)"
モンシロモドキ,"Nyctemera adversata (Schaller, 1788)",3月～10月,"""ヒメジョオン。""。寄主植物: タケニグサ、サワオグルマ、コウゾリナ、スイゼンジナ (以上キク科)"
ツマキモンシロモドキ,"Nyctemera lacticinia (Cramer, 1777)",5・6・10月,寄主植物: ヨブスマソウ (キク科)
ネッタイモンシロモドキ,"Nyctemera coleta (Stoll, 1781)",1年中,"""未知。""。寄主植物: 未知"
デバリモンシロモドキ,"Nyctemera carissima (Swinhoe, 1891)",5月～10月,"""数回発生。""。寄主植物: ネギ (ネギ科)、ダイズ (マメ科)、トウモロコシ (イネ科)、ミソハギ (ミソハギ科)"
キハラモンシロモドキ,"Nyctemera cenis (Cramer, 1777)",6・7・8月,"""未知。""。寄主植物: 未知"
オキナワモンシロモドキ,"Pitasila okinawensis (Inoue, 1982)",2月～10月,寄主植物: モンパノキ (ムラサキ科)
アケボノマダラヒトリ,"Mangina argus (Kollar, 1844)",6世代,寄主植物: タヌキマメ属 (マメ科)
キゴマダラヒトリ,"Argina astrea (Drury, 1773)",7月,"""未知。""。寄主植物: 未知"
ベニゴマダラヒトリ,"Utetheisa pulchelloides (Hampson, 1907)",5月～9月,"""モンパノキ。""。寄主植物: ハナイバナ (以上ムラサキ科)"
タイワンベニゴマダラヒトリ,"Utetheisa lotrix (Cramer, 1777)",5月～10月,寄主植物: タヌキマメ (マメ科)
キバラヒトリ,"Epatolmis luctifera (Denis & Schiffermüller, 1775)",5月,"""年1化。""。寄主植物: ヤナギ類 (ヤナギ科)、オオバコ、クガイソウ (以上オオバコ科)、タンポポ類 (キク科)、ハコベ (ナデシコ科)、ミヤマコウゾリナ (キク科)"
アマヒトリ,"Phragmatobia amurensis (Seitz, 1910)",7月～8月,"""年1化。幼虫越冬。""。寄主植物: アマ (アマ科)、タンポポ属、アキノキリンソウ (以上キク科)、スイバ (タデ科)、シロツメクサ (マメ科)"
リシリヒトリ,"Hyphoraia aulica (Linnaeus, 1758)",6月,"""年1化。""。寄主植物: オオバコ (オオバコ科)、タンポポ類 (キク科)"
ダイセツヒトリ,"Grammia quenseli (Paykull, 1793)",7月,"""年1化。""。寄主植物: キバナシャクナゲの花、チシマザクラ (以上ツツジ科)"
モンヘリアカヒトリ,"Diacrisia irene (Butler, 1881)",6月～7月,"""年1化。卵越冬。""。寄主植物: オオバコ (オオバコ科)、タンポポ類 (キク科)"
ヒメキシタヒトリ,"Parasemia plantaginis (Linnaeus, 1758)",7月,"""年1化。卵越冬。""。寄主植物: オオバコ (オオバコ科)、ギシギシ、イタドリ (以上タデ科)、タンポポ類、クワ (クワ科)"
ヒトリガ,"Arctia caja (Linnaeus, 1758)",8月～9月,"""年1化。幼虫越冬。""。寄主植物: クワ (クワ科)、スグリ (スグリ科)、アサ (アサ科)、ニワトコ (レンプクソウ科)、オオバコ (オオバコ科)、タンポポ類 (キク科)、ギシギシ、イタドリ (以上タデ科)、キャベツ (アブラナ科)"
ゴマベニシタヒトリ,"Rhyparia purpurata (Linnaeus, 1758)",7月,"""年1化。""。寄主植物: キンポウゲ (スイカズラ科)、オオバコ (オオバコ科)、ヤブムラ (アカネ科)、ノコギリソウ (キク科)"
ヒメベニシタヒトリ,"Rhyparioides subvaria (Walker, 1855)",5月・7月～8月,"""年2化。""。寄主植物: 未知"
ホシベニシタヒトリ,"Rhyparioides amurensis (Bremer, 1861)",7月,"""年1化。""。寄主植物: スイバ、ギシギシ (以上タデ科)"
ベニシタヒトリ,"Rhyparioides nebulosa (Butler, 1877)",6月～7月・8月～9月,"""年2化。""。寄主植物: オオバコ (オオバコ科)、タンポポ類 (キク科)"
コベニシタヒトリ,"Rhyparioides metelkana (Lederer, 1861)",6月～7月・8月～9月,"""年2化。""。寄主植物: アヤメ (アヤメ科)、オニシモツケ (バラ科)、シャクヤク (ボタン科)、ノリウツギ (アジサイ科)、クサソテツ (コウヤワラビ科)"
クロスジヒトリ,"Creatonotos gangis (Linnaeus, 1763)",5月・7月,"""未知。""。寄主植物: 未知"
マエアカヒトリ,"Aloa lactinea (Cramer, 1777)",5月～10月,"""数回発生。""。寄主植物: ネギ (ネギ科)、ダイズ (マメ科)、トウモロコシ (イネ科)、ミソハギ (ミソハギ科)"
アメリカシロヒトリ,"Hyphantria cunea (Drury, 1773)",6月～6月上旬・8月～9月,"""年2化・3化。蛹越冬。""。寄主植物: クワ (クワ科)、カキノキ (カキノキ科)、ヤナギ類 (ヤナギ科)、サクラ類、リンゴ (以上バラ科)、クリ、コナラ (以上ブナ科)、スズカケノキ (スズカケノキ科)、ユリノキ (モクレン科)"
シロヒトリ,"Chionoarctia nivea (Ménétriès, 1859)",7月～9月,"""年1化。幼虫越冬。""。寄主植物: スイバ、イタドリ、ギシギシ (以上タデ科)、タンポポ類 (キク科)"
アカハラゴマダラヒトリ,"Spilosoma punctarium (Stoll, 1782)",4月～9月,"""年2-3化。""。寄主植物: クワ (クワ科)、ミズキ (ミズキ科)"
キハラゴマダラヒトリ,"Spilosoma lubricipedum (Linnaeus, 1758)",4月～9月,"""年2-3化。""。寄主植物: クワ (クワ科)、サクラ類 (バラ科)"
スジモンヒトリ,"Spilarctia seriatopunctata (Motschulsky, 1861)",4月～6月・7月～9月,"""年2化。""。寄主植物: クワ (クワ科)、ケヤキ (ニレ科)、サクラ類 (バラ科)"
アトラカヒトリ,Spilarctia postrubida,3・7・8月,寄主植物: ホウビカンジュ (ツルシダ科)
キバネモンヒトリ,"Spilarctia lutea (Hufnagel, 1766)",7月～8月,"""年1化。""。寄主植物: スイバ、ギシギシ (以上タデ科)、オオバコ (オオバコ科)、ハッカ (シソ科)"
フトスジモンヒトリ,"Spilarctia obliquizonata (Miyake, 1910)",4月～6月・7月～9月,"""年2化。""。寄主植物: クワ (クワ科)"
フタスジヒトリ,"Spilarctia bifasciata (Butler, 1881)",6月～7月,"""年1化。""。寄主植物: クワ (クワ科)"
オビヒトリ,"Spilarctia subcarnea (Walker, 1855)",4月～6月・7月～9月,"""年2化。""。寄主植物: クワ (クワ科)"
セスジヒトリ,"Spilarctia howqua (Moore, 1877)",4月～5月・8月～9月,"""年2化。""。寄主植物: クワ、イチジク (以上クワ科)、ギシギシ、イタドリ (以上タデ科)、クズ、シロツメクサ (以上マメ科)、オオバコ (オオバコ科)、ヨモギ、タンポポ類、ノゲシ (以上キク科)、キャベツ (アブラナ科)"
クロフシロヒトリ,"Eospilarctia lewisi (Butler, 1885)",5月～7月,"""年1化。""。寄主植物: 未知"
カクモンヒトリ,"Lemyra inaequalis (Butler, 1879)",6月・7月～8月,"""年2化。幼虫越冬。""。寄主植物: クスギ、アベマキ、コナラ、アラカシ (以上ブナ科)、クワ (クワ科)"
アカヒトリ,"Lemyra flammeola (Moore, 1877)",6月～7月・8月～9月,"""年2化。幼虫越冬。""。寄主植物: シャシャンボ (ツツジ科)、ニワウルシ (ニガキ科)、アベマキ、アラカシ (以上ブナ科)、ミカン属 (ミカン科)、イタドリ (タデ科)、トウグミ (グミ科)、サクラ類 (バラ科)、シソ、モチノキ科、カエデ類 (ムクロジ科)"
クロバネヒトリ,"Lemyra infernalis (Butler, 1877)",7月～8月,"""年1化。""。寄主植物: サクラ類、モモ (以上バラ科)、クワ (クワ科)、クスギ (ブナ科)"
クワゴマダラヒトリ,"Lemyra imparilis (Butler, 1877)",7月～9月,"""年1化。""。寄主植物: ヤナギ類 (ヤナギ科)、ウツギ (アジサイ科)、サンゴジュ、ガマズミ (以上レンプクソウ科)、クワ (クワ科)、クリ、コナラ、アラカシ (以上ブナ科)"
カノコガ,"Amata fortunei (Orza, 1869)",6月・8月～9月,"""年2化。幼虫越冬。""。寄主植物: タンポポ類 (キク科)、シロツメクサ (マメ科)、スイバ、ギシギシ (以上タデ科)、スギナ (トクサ科)、シロツメクサ、スギナ"
ツマキカノコ,"Amata flava (Wileman, 1910)",5月・10月,"""未知。""。寄主植物: 未知"
キハダカノコ,"Amata germana (Felder & Felder, 1862)",6月～7月,"""ウワバミソウ (イラクサ科)。""。寄主植物: 柑橘類 (ミカン科)、カシューナッツ類 (ウルシ科)"
シロスジヒトリモドキ,"Asota heliconia (Linnaeus, 1758)",ほぼ1年中,"""オオバイヌビワ。""。寄主植物: コウトウイヌビワ (以上クワ科)、パパイヤ"
ホシヒトリモドキ,"Asota plana (Walker, 1854)",ほぼ1年中,"""ガジュマル。""。寄主植物: アコウ"
キイロヒトリモドキ,"Asota egens (Walker, 1854)",ほぼ1年中,"""ガジュマル。""。寄主植物: イヌビワ、ホソバムクイヌビワ、オオイタビ (以上クワ科)"
イチジクヒトリモドキ,"Asota ficus (Fabricius, 1775)",ほぼ1年中,"""イチジク。""。寄主植物: ガジュマル、イヌビワ (以上クワ科)"
キシタヒトリモドキ,"Asota caricae (Fabricius, 1775)",ほぼ1年中,"""ガジュマル。""。寄主植物: オオバイヌビワ (以上クワ科)"
ミナミヒトリモドキ,"Euplocia membliaria (Cramer, 1780)",8月,"""未知。""。寄主植物: 未知"
ヤエヤマキテンアツバモドキ,"Parachrostia sugii Fibiger, 2008",3・5・8月,"""年複数回。""。寄主植物: 未知"
アマミキテンアツバモドキ,"Parachrostia kishidai Fibiger, 2008",6・8・10月,"""年複数回。""。寄主植物: 未知"
オキナワキテンアツバモドキ,"Parachrostia owadai (Sugi, 1982)",5月～7月・9月～11月,"""年複数回。""。寄主植物: 未知"
ヒメキテンアツバモドキ,"Anellus edai Fibiger, 2008",3・5・8月,"""年複数回。""。寄主植物: 未知"
ウスオビアツバモドキ,"Mimachrostia fasciata Sugi, 1982",5月～9月,"""未知。""。寄主植物: 未知"
ヘリグロアツバモドキ,"Micronoctua occi Fibiger & Kononenko, 2008",6月から10月,"""未知。""。寄主植物: 未知"
コマバシロコブガ,"Nolathripa lactaria (Graeser, 1892)",5月～7月・8月～9月,寄主植物: オニグルミ (クルミ科)
モモタマナコブガ,"Sarbena ustipennis (Hampson, 1895)",1・5・8・9・11・12月,"""モモタマナ。""。寄主植物: シクンシ (以上シクンシ科)、オオバナサルスベリ (ミソハギ科)"
マルバコブガ,"Nola thyrophora (Hampson, 1914)",5月～6月・8月～9月・11月～12月,"""未知。""。寄主植物: 未知"
ツマグロコブガ,"Nola chlamitulalis (Hübner, 1813)",5月～6月・8月,"""年2化。""。寄主植物: ニガクサ属 (シソ科)、マツムシソウ属 (スイカズラ科)"
クロスジシロコブガ,"Nola taeniata Snellen, 1875",5月～6月・8月～10月・12月～3月,"""年2化。""。寄主植物: ヒデリコ (カヤツリグサ科)"
ミヤノシロコブガ,"Nola miyanoi (Sasaki, 2009)",6月～7月・9月,"""年2化。""。寄主植物: 未知"
マエモンコブガ,"Nola japonibia (Strand, 1920)",5月～8月,"""年2化。""。寄主植物: 未知"
クロフマエモンコブガ,"Nola innocua (Butler, 1880)",5月～6月・10月・12月～3月,寄主植物: イスノキ (マンサク科)
ツマカバコブガ,"Nola emi (Inoue, 1956)",5月～6月,"""未知。""。寄主植物: 未知"
カバイロコブガ,"Nola aerugula (Hübner, 1793)",6月～9月,"""年2化。""。寄主植物: ミズナラ (ブナ科)、カバノキ属 (カバノキ科)、キイチゴ属 (バラ科)"
ナミグルマアツバ,"Anatatha lignea (Butler, 1879)",5月～8月,"""未知。""。寄主植物: 未知"
ヒメナミグルマアツバ,"Anatatha misae (Sugi, 1982)",6月～8月,"""未知。""。寄主植物: 未知"
クロオビアツバ,"Anatatha wilemani (Sugi, 1958)",5月～8月,"""エノコログサ。""。寄主植物: メヒシバ (以上イネ科)"
ムラサキアツバ,"Diomea cremata (Butler, 1878)",5月～9月,"""カワラタケ (サルノコシカケ科)。""。寄主植物: シイタケ (キシメジ科)"
ヨツモンムラサキアツバ,"Diomea discisigna (Sugi, 1963)",5月～8月,"""未知。""。寄主植物: 未知"
ナカオビムラサキアツバ,"Diomea yanagitai (Kishida, 2010)",8月,"""未知。""。寄主植物: 未知"
マエヘリモンアツバ,"Diomea jankowskii (Oberthür, 1880)",5月～9月,"""未知。""。寄主植物: 未知"
ミナミマエヘリモンアツバ,"Diomea insulana (Yoshimoto, 2001)",3月～8月,"""未知。""。寄主植物: 未知"
マエジロアツバ,"Hypostrotia cinerea (Butler, 1878)",5月～6月・8月～10月,"""年2化。""。寄主植物: カワラタケ (サルノコシカケ科) などの菌類"
ヒメエビイロアツバ,"Maguda suffusa (Walker, 1863)",6月～9月,"""未知。""。寄主植物: 未知"
オオトウアツバ,"Panilla petrina (Butler, 1879)",5月～10月,"""未知。""。寄主植物: 未知"
マエクロモンアツバ,"Panilla costipunctata (Leech, 1900)",3月～10月,"""未知。""。寄主植物: 未知"
アトホシボシアツバ,"Caduca albopunctata (Walker, [1858])",10月,"""未知。""。寄主植物: 未知"
ミミモンクチバ,"Anticarsia irrorata (Fabricius, 1781)",8月～10月,寄主植物: ハマアズキ (マメ科)
オビマダラアツバ,"Raparna roseata (Wileman & South, 1917)",5月・8月～9月,"""未知。""。寄主植物: 未知"
ソトキイロアツバ,"Oglasa bifidalis (Leech, 1889)",7月～9月,"""ブナ。""。寄主植物: イヌブナ (以上ブナ科)"
マエテンアツバ,"Rhesala imparata (Walker, 1858)",6月～11月,寄主植物: ネムノキ (マメ科)
アトヘリヒトホシアツバ,"Gesonia fallax (Butler, 1879)",4月～10月,"""クズ。""。寄主植物: フジ (以上マメ科)"
コハイイロアツバ,"Gesonia obeditalis (Walker, 1859)",7・8月,"""未知。""。寄主植物: 未知"
シロズアツバ,"Ectogonia butleri (Leech, 1900)",5月～8月,"""年2化。""。寄主植物: マルバウツギ (アジサイ科)、シイ類 (ブナ科)"
アトエグリアツバ,"Arsacia rectalis (Walker, 1863)",6月,"""未知。""。寄主植物: 未知"
マノアツバ,"Goniocraspedon manoi (Yoshimoto, 1993)",3・5・11月,"""未知。""。寄主植物: 未知"
シマアツバ,"Hepatica linealis (Leech, 1889)",4月～5月・7月～8月,"""年2化。""。寄主植物: アラカシ (ブナ科)、ナンゴクカモメヅル (キョウチクトウ科)"
ナンキンシマアツバ,Hepatica nakatanii,4月～5月・7月～8月,"""年2化。""。寄主植物: 未知"
ヤエヤマシマアツバ,"Hepatica seinoi (Sugi, 1982)",3・11月,"""未知。""。寄主植物: 未知"
ムスジアツバ,"Loxioda parva (Sugi, 1982)",7・9月,"""未知。""。寄主植物: 未知"
シロテンアツバ,"Stenochrusia albomaculalis (Bremer, 1864)",6月～9月,寄主植物: クヌギ (ブナ科)
アヤナミアツバ,"Zekelita plusioides (Butler, 1879)",6月～7月,寄主植物: 地衣類
ハスオビアヤナミアツバ,"Zekelita satoi (Kishida, 2010)",5・8月,"""未知。""。寄主植物: 未知"
