catalog_number,source_catalog_number,tribe,subtribe,genus,subgenus,species,subspecies,author,year,japanese_name,scientific_name,domestic_distribution,overseas_distribution,source_notes
156,156,Ipini,,Acanthotomicus,,spinosus,,Blandford,1894,シラカシノキクイムシ,"Acanthotomicus spinosus Blandford, 1894","HON, SHI, KYU, Yak, Amm","China, Taiwan",
157,157,Ipini,,Ips,,acuminatus,,Gyllenhal,1827,マツノムツバキクイムシ,"Ips acuminatus (Gyllenhal, 1827)","HOK, HON, SHI","Sakhalin, Russian Far East, Korea, China, Siberia, Taiwan, Mongolia, Kazakhstan, Turkey, Europe, Thailand",
158,158,Ipini,,Ips,,cembrae,,Heer,1836,カラマツヤツバキクイムシ,"Ips cembrae (Heer, 1836)","HOK, HON, SHI","Kuril, Sakhalin, Russian Far East, Korea, China(northeast), Taiwan, Siberia, Mongolia, Kazakhstan, Europe",マツノオオキクイムシ
159,159,Ipini,,Ips,,duplicatus,,C. R. Sahlberg,1836,オオハキクイムシ,"Ips duplicatus (C. R. Sahlberg, 1836)",HON,"Sakhalin, Russian Far East, Korea, China(northeast), Siberia, Mongolia, Kazakhstan, Europe",
160,160,Ipini,,Ips,,sexdentatus,,Boerner,1766,,"Ips sexdentatus (Boerner, 1766)",Japan,"Russian Far East, Korea, China, Siberia, Mongolia, Kazakhstan, Turkey, Europe",
161,161,Ipini,,Ips,,subelongatus,,Motschulsky,1860,,"Ips subelongatus (Motschulsky, 1860)",Japan,"Russian Far East, Korea, China, Taiwan, Siberia, Mongolia",
162,162,Ipini,,Ips,,typographus,,Linnaeus,1758,ヤツバキクイムシ,"Ips typographus (Linnaeus, 1758)","HOK, HON","Russian Far East, Korea, China, Siberia, Mongolia, Kazakhstan, Turkey, Europe, North Africa","Ips japonicus Niijima, 1909"
163,163,Ipini,,Orthotomicus,,angulatus,,Eichhoff,1876,マツノツノキクイムシ,"Orthotomicus angulatus (Eichhoff, 1876)","HON, Sad, Awj, SHI, KYU, Yak, Okn, Ish","Russian Far East, Korea, China, Taiwan, Oriental Region, Cambodia",
164,164,Ipini,,Orthotomicus,,golovjankoi,,Pyatnitskiy,1930,ゴロウヤンコキクイムシ,"Orthotomicus golovjankoi Pyatnitskiy, 1930","HOK, HON, Sad","Sakhalin, Russian Far East, Korea, China, Siberia",ゴロビヤンコキクイムシ
165,165,Ipini,,Orthotomicus,,kuniyoshii,,Nobuchi,1959,クニヨシキクイムシ,"Orthotomicus kuniyoshii (Nobuchi, 1959)",Okn,Taiwan,"Ips kuniyoshii Nobuchi, 1959"
166,166,Ipini,,Orthotomicus,,laricis,,Fabricius,1792,カラマツキクイムシ,"Orthotomicus laricis (Fabricius, 1792)","HOK, HON, Sad","Kamchatka, Sakhalin, Russian Far East, Korea, China, Siberia, Mongolia, Kazakhstan, Europe, North Africa",カラマツホソキクイムシ
167,167,Ipini,,Orthotomicus,,multidentatus,,Murayama,1953,マツノトゲキクイムシ,"Orthotomicus multidentatus (Murayama, 1953)","HON, SHI, KYU",,"Ips multidentatus Murayama, 1953"
168,168,Ipini,,Orthotomicus,,proximus,,Eichhoff,1868,マツカワノキクイムシ,"Orthotomicus proximus (Eichhoff, 1868)","HOK, HON, SHI, KYU","Russian Far East, Korea, China, Siberia, Mongolia, Kazakhstan, Iraq, Turkey, Europe, North Africa, Oriental Region","Ips proximus Eichhoff, 1868"
169,169,Ipini,,Orthotomicus,,suturalis,,Gyllenhal,1827,ホンスンキクイムシ,"Orthotomicus suturalis (Gyllenhal, 1827)","HOK, HON, Sad","Russian Far East, Korea, China, Siberia, Mongolia, Kazakhstan, Turkey, Europe",
170,170,Ipini,,Orthotomicus,,tosaensis,,Murayama,1950,トサキクイムシ,"Orthotomicus tosaensis (Murayama, 1950)","HON, SHI, KYU",Korea,
171,171,Ipini,,Pityogenes,,bidentatus,,Herbst,1784,,"Pityogenes bidentatus (Herbst, 1784)",Japan,"Russian Far East, Siberia, Mongolia, Kazakhstan, Israel, Turkey, Europe",
172,172,Ipini,,Pityogenes,,bistridentatus,,Eichhoff,1878,フタツノキクイムシ,"Pityogenes bistridentatus (Eichhoff, 1878)","HOK, HON","China(northeast), Cyprus, Turkey, Europe",
173,173,Ipini,,Pityogenes,,chalcographus,,Linnaeus,1760,ホシガタキクイムシ,"Pityogenes chalcographus (Linnaeus, 1760)","HOK, HON","Kuril, Sakhalin, Russian Far East, Korea, China, Siberia, Mongolia, Turkey, Europe",
174,174,Ipini,,Pityogenes,,conjunctus,,Reitter,1887,,"Pityogenes conjunctus Reitter, 1887",Japan,"Russian Far East, China, Siberia, Mongolia, Turkey, Europe",
175,175,Ipini,,Pityogenes,,foveolatus,,Eggers,1926,オンタケキクイムシ,"Pityogenes foveolatus Eggers, 1926","Etr, HOK, HON","Kamchatka, Sakhalin, Russian Far East, Korea, Siberia",
176,176,Ipini,,Pityogenes,,japonicus,,Nobuchi,1974,ニホンホシガタキクイムシ,"Pityogenes japonicus Nobuchi, 1974",HON,China,
177,177,Ipini,,Pityogenes,,seirindensis,,Murayama,1929,セイリンドウキクイムシ,"Pityogenes seirindensis Murayama, 1929",HOK,"Kuril, Sakhalin, Russian Far East, Korea, China","Pityogenes aizawai Kono, 1938"
178,178,Ipini,,Pityokteines,,curvidens,,Germar,1824,キョクシキクイムシ,"Pityokteines curvidens (Germar, 1824)","HOK, HON","Siberia, Turkey, Europe",
179,179,Micracidini,,Pseudothysanoes,,modestus,,Murayama,1940,ノニレコキクイムシ,"Pseudothysanoes modestus (Murayama, 1940)","HON, SHI","Korea, China(northeast), Siberia","Hypothenemus modestus (Murayama, 1940)"
180,180,Phloeosinini,,Phloeosinus,,gifuensis,,Murayama,1954,ギフキクイムシ,"Phloeosinus gifuensis Murayama, 1954","HON, SHI",,
181,181,Phloeosinini,,Phloeosinus,,kiushuensis,,Murayama,1955,キュウシュウキクイムシ,"Phloeosinus kiushuensis Murayama, 1955","HON, KYU",,"Phloeosinus izuensis Nobuchi, 1959 / イズカワキクイムシ"
182,182,Phloeosinini,,Phloeosinus,,kumamotoensis,,Murayama,1955,ワイフキクイムシ,"Phloeosinus kumamotoensis Murayama, 1955",KYU,,クマモトキクイムシから和名変更
183,183,Phloeosinini,,Phloeosinus,,lewisi,,Chapuis,1876,ヒバノコキクイムシ,"Phloeosinus lewisi Chapuis, 1876","HOK, HON, SHI, KYU","China, Taiwan",
184,184,Phloeosinini,,Phloeosinus,,osumiensis,,Murayama,1955,オオスミキクイムシ,"Phloeosinus osumiensis Murayama, 1955",KYU,,
185,185,Phloeosinini,,Phloeosinus,,perlatus,,Chapuis,1876,ヒバノキクイムシ,"Phloeosinus perlatus Chapuis, 1876","HOK, HON, Sad, SHI, KYU, Hrd","Korea, China, Taiwan",
186,186,Phloeosinini,,Phloeosinus,,pulchellus,,Blandford,1894,ユメノキクイムシ,"Phloeosinus pulchellus Blandford, 1894","HON, Iz-N, SHI, KYU, NOs",,
187,187,Phloeosinini,,Phloeosinus,,rudis,,Blandford,1894,ヒノキノキクイムシ,"Phloeosinus rudis Blandford, 1894","HON, Sad, SHI, KYU",Korea,"Phloeosinus shotoensis Murayama, 1955 / ショトウキクイムシ"
188,188,Phloeosinini,,Phloeosinus,,sannohensis,,Murayama,1954,サンノヘキクイムシ,"Phloeosinus sannohensis Murayama, 1954","HON, Sad, SHI, KYU",China,
189,189,Phloeosinini,,Phloeosinus,,seriatus,,Blandford,1894,クスノキクイムシ,"Phloeosinus seriatus Blandford, 1894","HON, SHI, KYU",,
190,190,Phloeotribini,,Phloeotribus,,spinulosus,,Rey,1883,アラゲキクイムシ,"Phloeotribus spinulosus (Rey, 1883)",HOK,"Sakhalin, Russian Far East, Siberia, Mongolia, Kazakhstan, Europe","Phthorophloeus spinulosus Rey, 1883"
191,191,Polygraphini,,Polygraphus,,fulvipennis,,Niijima,1941,ヤツガタケキクイムシ,"Polygraphus fulvipennis Niijima, 1941",HON,,
192,192,Polygraphini,,Polygraphus,,gracilis,,Niijima,1909,アカエゾキクイムシ,"Polygraphus gracilis Niijima, 1909",HOK,"Sakhalin, Russian Far East, China",
193,193,Polygraphini,,Polygraphus,,horyurensis,,Murayama,1937,ホリュウリキクイムシ,"Polygraphus horyurensis Murayama, 1937","HOK, HON","Sakhalin, Russian Far East, Korea, China, Taiwan",
194,194,Polygraphini,,Polygraphus,,japonicus,,Nunberg,1956,アオモリキクイムシ,"Polygraphus japonicus Nunberg, 1956",HON,,"Polygraphus granulatus Niijima, 1941; / Polygraphus uchimappensis Murayama, 1956 / アオモリキクイムシ"
195,195,Polygraphini,,Polygraphus,,jezoensis,,Niijima,1909,エゾキクイムシ,"Polygraphus jezoensis Niijima, 1909","HOK, HON","Kamchatka, Sakhalin, Russian Far East, Korea",
196,196,Polygraphini,,Polygraphus,,kaimochii,,Nobuchi,1981,カイモチキクイムシ,"Polygraphus kaimochii (Nobuchi, 1981)","HON, KYU",,"Nipponopolygraphus kaimochii Nobuchi, 1981"
197,197,Polygraphini,,Polygraphus,,kisoensis,,Niijima,1941,キソキクイムシ,"Polygraphus kisoensis Niijima, 1941",HON,Sakhalin,
198,198,Polygraphini,,Polygraphus,,meakanensis,,Niijima,1935,メアカンキクイムシ,"Polygraphus meakanensis Niijima, 1935","HOK, Rsr, HON",,
199,199,Polygraphini,,Polygraphus,,nigrielytris,,Niijima,1913,ナナカマドノキクイムシ,"Polygraphus nigrielytris Niijima, 1913","HOK, Ygs, HON, KYU","Kuril, Kamchatka, Sakhalin",
200,200,Polygraphini,,Polygraphus,,parvulus,,Murayama,1956,ヒメヨツメキクイムシ,"Polygraphus parvulus Murayama, 1956","HON, SHI, KYU",,フクオカキクイムシ
201,201,Polygraphini,,Polygraphus,,poligraphus,,Linnaeus,1758,ヨツメキクイムシ,"Polygraphus poligraphus (Linnaeus, 1758)",HOK,"Sakhalin, Russian Far East, China, Siberia, Mongolia, kazakhstan, Turkey, Europe",
202,202,Polygraphini,,Polygraphus,,proximus,,Blandford,1894,トドマツノキクイムシ,"Polygraphus proximus Blandford, 1894","HOK, HON, SHI, KYU, Yak,","Sakhalin, Russian Far East, Korea, China, Siberia","Polygraphus magnus Murayama, 1956 / オオヨツメキクイムシ ; / Polygraphus oblongus Blandford, 1894 / モミノキクイムシ"
203,203,Polygraphini,,Polygraphus,,shariensis,,Niijima,1941,シャリキクイムシ,"Polygraphus shariensis Niijima, 1941","HOK, HON","Kuril, Sakhalin",
204,204,Polygraphini,,Polygraphus,,squamulatus,,Niijima,1941,チンナイキクイムシ,"Polygraphus squamulatus Niijima, 1941",HOK,Sakhalin,
205,205,Polygraphini,,Polygraphus,,ssiori,,Niijima,1909,サクラノキクイムシ,"Polygraphus ssiori Niijima, 1909","HOK, HON, SHI, KYU, NKs,","Kuril, Sakhalin, China",
206,206,Polygraphini,,Polygraphus,,subopacus,,C. G. Thomson,1871,トウヒノキクイムシ,"Polygraphus subopacus C. G. Thomson, 1871","HOK, HON","Kamchatka, Sakhalin, Russian Far East, Korea, China, Siberia, Mongolia, Europe",HON は京都府
207,207,Scolytini,,Scolytus,,aomoriense,,Nobuchi,1973,アオモリゾウキカワノキクイムシ,"Scolytus aomoriense Nobuchi, 1973",HON,,"Scolytus aomoriensis Nobuchi, 1973 / アオモリキクイムシから和名変更"
208,208,Scolytini,,Scolytus,,aratus,,Blandford,1894,ウメノキクイムシ,"Scolytus aratus Blandford, 1894","HOK, HON","Kuril, Sakhalin, Russian Far East, Korea, China",
209,209,Scolytini,,Scolytus,,betulae,,Niijima,1943,,"Scolytus betulae Niijima, 1943",Japan,,
210,210,Scolytini,,Scolytus,,chikisanii,,Niijima,1905,ニレノキクイムシ,"Scolytus chikisanii Niijima, 1905","HOK, HON","Kuril, Sakhalin, Russian Far East, Korea, China","Scolytus curviventralis Niijima, 1909"
211,211,Scolytini,,Scolytus,,claviger,,Blandford,1894,サワシバノキクイムシ,"Scolytus claviger Blandford, 1894","HOK, HON, KYU","Russian Far East, Korea, China(northeast)",
212,212,Scolytini,,Scolytus,,dahuricus,,Chapuis,1879,シラカバノキクイムシ,"Scolytus dahuricus Chapuis, 1879","HOK, HON","Sakhalin, Russian Far East, Korea, China(northeast), Siberia","Scolytus dahuricus Chapuis, 1873"
213,213,Scolytini,,Scolytus,,ellipticus,,Murayama,1958,アサマヤマキクイムシ,"Scolytus ellipticus Murayama, 1958","HOK, Oks, HON",,
214,2144,Scolytini,,Scolytus,,esuriens,,Blandford,1894,ニレノオオキクイムシ,"Scolytus esuriens Blandford, 1894","HOK, HON, KYU","Russian Far East, China",
215,215,Scolytini,,Scolytus,,frontalis,,Blandford,1894,ニレカワノキクイムシ,"Scolytus frontalis Blandford, 1894","HOK, HON, Sad, SHI, KYU","Korea, China, Taiwan",
216,216,Scolytini,,Scolytus,,jacobsoni,,Spessivtsev,1919,ジャコブソンキクイムシ,"Scolytus jacobsoni (Spessivtsev, 1919)",?Japan,"Sakhalin, Russian Far East, Korea, China",
217,217,Scolytini,,Scolytus,,japonicus,,Chapuis,1876,ニホンキクイムシ,"Scolytus japonicus Chapuis, 1876","HOK, HON, SHI, KYU","Russian Far East, Korea, China, Siberia, Mongolia, Taiwan","Scolytus japonicus Chapuis, 1875; Scolytus ussuriensis Kurenzov, 1941 / ウスリーキクイムシ"
218,218,Scolytini,,Scolytus,,ratzeburgii,,E. W. Janson,1856,ラッツェブルグキクイムシ,"Scolytus ratzeburgii E. W. Janson, 1856",HOK,"Sakhalin, Russian Far East, Korea, China, Mongolia, Kazakhstan, Iran, Turkey, Europe",
219,219,Scolytini,,Scolytus,,trispinosus,,Strohmeyer,1908,ミツハリキクイムシ,"Scolytus trispinosus Strohmeyer, 1908",HOK,"Kuril, Sakhalin, Russian Far East, Korea, China",
