和名,学名,成虫発生時期,成虫発生時期に関する備考
ウスキミスジアツバ,Herminia arenosa Butler, 1878,4~9月,年2~3回の発生。
フシキアツバ,Herminia dolosa Butler, 1879,5月から9月,年2~3化。
シラナミアツバ,Herminia innocens Butler, 1879,4月から10月,年3~4化。
フサハラアツバ,Herminia ryukyuensis Owada, 1982,3月から10月,多化性。
ムモンキイロアツバ,Stenhypena nigripuncta (Wileman, 1911),不明,
アイノクロハナギンガ,Chasminodes aino Sugi, 1956,7月～10月,"年1化。幼虫は葉先をつづり、中にひそむ。"
アオイガ,Xanthodes albago (Fabricius, 1794),11月,
アオケンモン,Belciades niveola (Motschulsky, 1866),6月～8月,"年1化。"
アオバセダカヨトウ,Mormo muscivirens Butler, 1878,5月～9月,"年1化と推定される。"
アオバハガタヨトウ,Antivaleria viridimacula (Graeser, 1889),10月～11月,"年1化。成虫越冬はしない。"
アオキノコヨトウ,Stenoloba assimilis (Warren, 1909),8月,"年1化と思われる。"
アオスジコヤガ,Inabaia culta (Butler, 1879),8月～9月,
アオモンギンセダカモクメ,Cucullia argentea (Hufnagel, 1766),9月,"年1化。"
アオアカガネヨトウ,Karana laetevirens (Oberthür, 1884),6月～8月,"年1化と思われ、幼虫で越冬する。"
アカガネヨトウ,Euplexia lucipara (Linnaeus, 1758),5月～9月,"年2化。"
アカキンウワバ,Polychrysia aurata (Staudinger, 1888),6月～9月,"年2化。"
アカバキリガ,Orthosia carnipennis (Butler, 1878),4月～6月,"年1化。"
アカヘリヤガ,Adisura atkinsoni Moore, 1881,8月～9月,
アカマダラヨトウ,Spodoptera picta (Guérin-Méneville, 1838),7月～8月,"年1化と思われる。"
アカモクメヨトウ,Apamea aquila Donzel, 1837,6月～8月,"年1化。越夏休眠する可能性がある。"
アサケンモン,Acronicta pruinosa (Guenée, 1852),5月～6月、8月～10月,"年2化と思われる。"
アズサキリガ,Pseudopanolis azusa Sugi, 1968,4月下旬～5月上旬,"年1回。"
アトジロシラホシヨトウ,Melanchra postalba Sugi, 1982,5月～7月,"年1化。老熟した幼虫は夏に土中にもぐり蛹となり、そのまま越冬する。"
アフリカシロナヨトウ,Spodoptera exempta (Walker, 1857),6月、8月,
