和名,学名,成虫発生時期,備考
ウスハイイロケンモン,"Subleuconycta palshkovi (Filipjev, 1937)",6月～7月,年1化。
ウスベニキヨトウ,"Mythimna pudorina (Denis & Schiffermüller, 1775)",7月～8月,年1化。5月の採集例もある。中齢幼虫で越冬する。
ウスベニホシコヤガ,"Ozarba brunnea (Leech, 1900)",6月～8月,
ウスホシミミヨトウ,"Condica pallescens (Sugi, 1970)",6月、9月,
ウスムラサキクチバ,"Ericeia pertendens (Walker, 1858)",4月～5月、7月～12月,日本本土では年2回発生
ウスムラサキケンモン,"Acronicta subpurpurea (Matsumura, 1926)",6月～7月,年1化。
ウスムラサキヨトウ,"Eucarta virgo (Treitschke, 1835)",6月、8月,年2化。
ウチキアツバ,"Bertula sinuosa (Leech, 1900)",不明,
ウチキシャチホコ,"Notodonta dembowskii (Oberthür, 1879)",5~6月と8月,年2化。
ウチジロコヤガ,"Chorsia albicincta (Hampson, 1898)",5月～9月,
ウチジロマイマイ,"Parocneria furva (Leech, 1889)",6~7月と8~9月,年2化。卵または若齢幼虫で越冬する。
ウラジロアツバ,"Hypertrocon violacealis (Staudinger, 1892)",5月から9月,年2化以上。
ウンモンキノコヨトウ,"Stenoloba manleyi (Leech, 1889)",7月～10月,年1化と思われる。
ウンモンクチバ,"Mocis annetta (Butler, 1878)",5月～6月、8月～9月,年2回。蛹で越冬する。
エグリキリガ,"Teratoglaea pacifica Sugi, 1958",10月～5月,年1化。成虫で越冬する。
エグリシャチホコ,"Ptilodon robusta (Matsumura, 1924)",6月、8月,年2化。
エゾエグリシャチホコ,"Ptilodon jezoensis (Matsumura, 1919)",5~6月、8月,年2化。
エゾオオバコヤガ,"Diarsia dahlii (Hübner, [1813])",8月～9月,年1化。幼虫越冬する。
エゾキイロキリガ,"Tiliacea japonago (Wileman & West, 1929)",9月下旬～10月,
エゾキンウワバ,"Euchalcia sergia (Oberthür, 1884)",6月下旬～7月,年1化。
エゾギクキンウワバ,"Ctenoplusia albostriata (Bremer & Grey, 1853)",通年,熱帯・亜熱帯では通年発生。温帯でも条件がよければ越冬可能。
エゾギンモンシャチホコ,"Spatalia jezoensis (Wileman & South, 1916)",5~6月、8~9月、7月から (北海道),年2化。
エゾクシヒゲシャチホコ,"Ptilophora jezoensis (Matsumura, 1920)",10月上旬~11月上旬,卵越冬。
エゾクロギンガ,"Chasminodes atrata (Butler, 1884)",7月～8月,年1化。
エゾコヤガ,"Chorsia noloides (Butler, 1879)",5月～9月,
エゾサクラケンモン,"Acronicta strigosa (Denis & Schiffermüller, 1775)",6月、8月,年2化と思われる。
エゾスジヨトウ,"Doerriesa striata (Staudinger, 1900)",6月～8月,年2化と推定される。
エゾチャイロヨトウ,"Lacanobia splendens (Hübner, [1808])",5月、7月～8月,年2回。春と秋に発生。
エゾヒサゴキンウワバ,"Diachrysia chrysitis (Linnaeus, 1758)",6月～8月,年2化。幼虫越冬。北方では年1化。
エゾミツボシキリガ,"Eupsilia transversa (Hufnagel, 1766)",10月～5月,年1化。成虫で越冬する。
エゾモクメキリガ,"Brachionycha nubeculosa (Esper, 1785)",3月下旬～5月,年1化。
エチゴハガタヨトウ,"Asidemia inexpecta (Sugi, 1963)",5月～6月、8月～10月,年2化。
エルモンドクガ,"Arctornis l-nigrum (Müller, 1764)",6~8月,年2化と考えられる。
オオアオシャチホコ,"Syntypistis cyanea (Leech, 1889)",4~6月、7~9月,年2化。
オオアカマエアツバ,"Simplicia niphona (Butler, 1878)",5月頃から10月過ぎまで,多化性。
オオウスヅマカラスヨトウ,"Amphipyra erebina Butler, 1878",7月～9月,同属他種よりも早い9月中に姿を消す。
オオウンモンクチバ,"Mocis undata (Fabricius, 1775)",3月～9月,日本本土では年2回。
オオシラホシアシブトクチバ,"Achaea serva (Fabricius, 1775)",3~12月,
オオテンクロアツバ,"Rivula sugii (Kishida, 2010)",7月,
オオトウアツバ,"Panilla petrina (Butler, 1879)",5~10月,
オオトビモンシャチホコ,"Phalerodonta manleyi (Leech, 1889)",10月初め (北海道)、11月 (本州),年1化、晩秋の蛾。
オオネグロシャチホコ,"Eufentonia nihonica (Wileman, 1911)",5~6月、8~9月,年2化。
オオムラサキクチバ,"Anisoneura aluco (Fabricius, 1775)",2~8月,偶産と考えられる。
