科,亜科,属,種小名,和名
ハムシ科,ヒゲナガハムシ亜科,Trachytetra,imasakai,イマサカアラハダトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Trachytetra,lewisi,アラハダトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Trachytetra,nigricornis,クロヒゲアラハダトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Trachytetra,nigrita,クロアラハダトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Trachytetra,nishii,ニシアラハダトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Trachytetra,obscura,ガマズミトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Trachytetra,okinawana,オキナワアラハダトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Trachytetra,sordida,ヒゲナガアラハダトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Zipanginia,bungoensis,キュウシュウグミトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Zipanginia,iwatensis,ホオノキコミヤトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Zipanginia,loochooensis,リュウキュウグミトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Zipanginia,miyatakei,ムネアカグミトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Zipanginia,picipes,チビカミナリハムシ　基亜種
ハムシ科,ヒゲナガハムシ亜科,Zipanginia,picipes,チビカミナリハムシ　亜種
ハムシ科,ヒゲナガハムシ亜科,Zipanginia,sakishimana,サキシマグミトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Zipanginia,tosana,シコクグミトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Zipanginia,tuberosa,シリダコグミトビハムシ
ハムシ科,ヒゲナガハムシ亜科,Apophylia,elongata,オキナワアオバホソハムシ
ハムシ科,ヒゲナガハムシ亜科,Apophylia,nigriceps,ヒメアオバホソハムシ
ハムシ科,ヒゲナガハムシ亜科,Apophylia,viridipennis,アオバホソハムシ
ハムシ科,ヒゲナガハムシ亜科,Chujoa,uetsukii,ウエツキブナハムシ
ハムシ科,ヒゲナガハムシ亜科,Galeruca,(Galeruca),アザミオオハムシ
ハムシ科,ヒゲナガハムシ亜科,Galeruca,(Galeruca),ネギオオアラメハムシ
ハムシ科,ヒゲナガハムシ亜科,Galeruca,(Galeruca),スジグロオオハムシ
ハムシ科,ヒゲナガハムシ亜科,Galeruca,(Galeruca),スミイロオオアラメハムシ
ハムシ科,ヒゲナガハムシ亜科,Galerucella,(Galerucella),チュウジョウヒゲナガハムシ
ハムシ科,ヒゲナガハムシ亜科,Galerucella,(Galerucella),イチゴハムシ
ハムシ科,ヒゲナガハムシ亜科,Galerucella,(Galerucella),ジュンサイハムシ
ハムシ科,ヒゲナガハムシ亜科,Galerucella,(Galerucella),オオクラヒゲナガハムシ
ハムシ科,ヒゲナガハムシ亜科,Galerucella,(Galerucella),オゼタデハムシ
ハムシ科,ヒゲナガハムシ亜科,Galerucella,(Neogalerucella),ミソハギハムシ
ハムシ科,ヒゲナガハムシ亜科,Galerucella,(Neogalerucella),ハシバミハムシ
ハムシ科,ヒゲナガハムシ亜科,Lochmaea,caprea,ズグロアラメハムシ
ハムシ科,ヒゲナガハムシ亜科,Menippus,doeberli,オキナワウスバハムシ
ハムシ科,ヒゲナガハムシ亜科,Menippus,issikii,アマミウスバハムシ
ハムシ科,ヒゲナガハムシ亜科,Menippus,sakishimanus,サキシマウスバハムシ
ハムシ科,ヒゲナガハムシ亜科,Ophraella,communa,ブタクサハムシ
ハムシ科,ヒゲナガハムシ亜科,Pyrrhalta,annulicornis,ブチヒゲケブカハムシ
ハムシ科,ヒゲナガハムシ亜科,Pyrrhalta,esakii,エグリバケブカハムシ
ハムシ科,ヒゲナガハムシ亜科,Pyrrhalta,fuscipennis,イタヤハムシ
ハムシ科,ヒゲナガハムシ亜科,Pyrrhalta,kawashimai,カワシマケブカハムシ
ハムシ科,ヒゲナガハムシ亜科,Pyrrhalta,konishii,コニシケブカハムシ
ハムシ科,ヒゲナガハムシ亜科,Pyrrhalta,lineatipes,サンゴジュハムシ
ハムシ科,ヒゲナガハムシ亜科,Pyrrhalta,semifulva,アカタデハムシ
ハムシ科,ヒゲナガハムシ亜科,Pyrrhalta,takeii,オオサクラケブカハムシ
ハムシ科,ヒゲナガハムシ亜科,Pyrrhalta,tibialis,エノキハムシ
ハムシ科,ヒゲナガハムシ亜科,Pyrrhalta,yasumatsui,ヤスマツケブカハムシ
ハムシ科,ヒゲナガハムシ亜科,Pyrrhalta,yoshimotoi,ヨシモトケブカハムシ
ハムシ科,ヒゲナガハムシ亜科,Xanthogaleruca,maculicollis,ニレハムシ
ハムシ科,ヒゲナガハムシ亜科,Xanthogaleruca,nigromarginata,クロヘリウスチャハムシ
