大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族和名,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,食草,出典
,Prodoxidae,ホソヒゲマガリガ科,Prodoxinae,ホソヒゲマガリガ亜科,,,,,Greya,,variabilis,,Davis & Pellmyr,1992,,アラスカマガリガ,,,,,,,"Greya variabilis Davis & Pellmyr, 1992",不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
,Incurvariidae,マガリガ科,,,,,,,Phylloporia,,bistrigella,,(Haworth),1828,,ヒメフタオビマガリガ,,,,,,,"Phylloporia bistrigella (Haworth, 1828)",不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
,Incurvariidae,マガリガ科,,,,,,,Vespina,,nielseni,,Kozlov,1987,,ホソバネマガリガ,,ヒメホソバネマガリガ,,,,,"Vespina nielseni Kozlov, 1987",コナラ (以上プナ科); ナラガシワ; クヌギ; ナラガシワ; クヌギ; ナラガシワ; クヌギ; ナラガシワ; クヌギ; ナラガシワ; クヌギ,日本産蛾類標準図鑑3
,Incurvariidae,マガリガ科,,,,,,,Procacitas,,orientella,,(Kozlov),1987,,ウスキンモンマガリガ,,,,,,,"Procacitas orientella (Kozlov, 1987)",ベニバナイチャクソウ (イチャクソウ科),日本産蛾類標準図鑑3
4579,Incurvariidae,マガリガ科,,,,,,,Alloclemensia,,unifasciata,,Nielsen,1981,,ヒトスジマガリガ,,,,,,,"Alloclemensia unifasciata Nielsen, 1981",オオカメノキ (以上スイカズラ科); ガマズミ; ガマズミ; ガマズミ; ガマズミ; ガマズミ; ; ガマズミ; ガマズミ;; ガマズミ;; ガマズミ;; ガマズミ;; ; ガマズミ; ガマズミ;; ガマズミ;; ガマズミ;; ガマズミ;; ; ガマズミ; ガマズミ;; ガマズミ;; ガマズミ;; ガマズミ;; ; ガマズミ; ガマズミ;; ガマズミ;; ガマズミ;; ガマズミ;,日本産蛾類標準図鑑3
4580,Incurvariidae,マガリガ科,,,,,,,Alloclemensia,,maculata,,Nielsen,1981,,フタモンマガリガ,,マエモンマガリガ,,,,,"Alloclemensia maculata Nielsen, 1981",オオカメノキ (スイカズラ科),日本産蛾類標準図鑑3
,Incurvariidae,マガリガ科,,,,,,,Excurvaria,,praelatella,,(Denis & Schiffermüller),1775,,タカネマガリガ,,,,,,,"Excurvaria praelatella (Denis & Schiffermüller, 1775)",不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
32,Incurvariidae,マガリガ科,,,,,,,Paraclemensia,,caerulea,,(Issiki),1957,,ムラサキツヤマガリガ,,,,,,,"Paraclemensia caerulea (Issiki, 1957)",ゴヨウツツジ (以上ツツジ科); コバノミツバツツジ; コバノミツバツツジ; コバノミツバツツジ; コバノミツバツツジ; コバノミツバツツジ,日本産蛾類標準図鑑3
,Incurvariidae,マガリガ科,,,,,,,Paraclemensia,,viridis,,Nielsen,1982,,イヌシデマガリガ,,,,,,,"Paraclemensia viridis Nielsen, 1982",イヌシデ (カバノキ科),日本産蛾類標準図鑑3
,Incurvariidae,マガリガ科,,,,,,,Paraclemensia,,oligospina,,Nielsen,1982,,クリヒメマガリガ,,,,,,,"Paraclemensia oligospina Nielsen, 1982",クリ (プナ科),日本産蛾類標準図鑑3
,Incurvariidae,マガリガ科,,,,,,,Paraclemensia,,cyanea,,Nielsen,1982,,ヒメアオマガリガ,,,,,,,"Paraclemensia cyanea Nielsen, 1982",シラカンバの可能性が高い; シラカンバの可能性が高い; シラカンバの可能性が高い; シラカンバの可能性が高い; シラカンバの可能性が高い,日本産蛾類標準図鑑3
31,Incurvariidae,マガリガ科,,,,,,,Paraclemensia,,incerta,,(Christoph),1882,,クロツヤマガリガ,,,,,,,"Paraclemensia incerta (Christoph, 1882)",カエデ属 (ムクロジ科); イヌシデ (カバノキ科); アズキナシ (バラ科); ネジキ (ツツジ科); フジ (マメ科); ハリギリ (ウコギ科); クリ (プナ科),日本産蛾類標準図鑑3
,Incurvariidae,マガリガ科,,,,,,,Paraclemensia,,monospina,,Nielsen,1982,,アズキナシマガリガ,,,,,,,"Paraclemensia monospina Nielsen, 1982",アズキナシ (バラ科),日本産蛾類標準図鑑3
29,Incurvariidae,マガリガ科,,,,,,,Incurvaria,,takeuchii,,Issiki,1957,,クシヒゲマガリガ,,,,,,,"Incurvaria takeuchii Issiki, 1957",リョウブ (リョウブ科),日本産蛾類標準図鑑3
28,Incurvariidae,マガリガ科,,,,,,,Incurvaria,,alniella,,(Issiki),1957,,ハンノキマガリガ,,,,,,,"Incurvaria alniella (Issiki, 1957)",ハンノキ (カバノキ科),日本産蛾類標準図鑑3
,Incurvariidae,マガリガ科,,,,,,,Incurvaria,,vetulella,,(Zetterstedt),1839,,コケモモマガリガ,,,,,,,"Incurvaria vetulella (Zetterstedt, 1839)",不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
,Tischeriidae,ムモンハモグリガ科,,,,,,,Tischeria,,naraensis,,Sato,1993,,ヤマトキムモンハモグリ,,,,,,,"Tischeria naraensis Sato, 1993",アベマキ (以上プナ科); クヌギ; クヌギ; クヌギ; クヌギ; クヌギ; ; クヌギ; クヌギ;; クヌギ;; クヌギ;; クヌギ;; ; クヌギ; クヌギ;; クヌギ;; クヌギ;; クヌギ;; ; クヌギ; クヌギ;; クヌギ;; クヌギ;; クヌギ;; ; クヌギ; クヌギ;; クヌギ;; クヌギ;; クヌギ;,日本産蛾類標準図鑑3
,Tischeriidae,ムモンハモグリガ科,,,,,,,Tischeria,,decidua,,Wocke,1876,,ニセクヌギキムモンハモグリ,ニセクヌギキムモンハモグリ,ニセクヌギキハモグリガ，チャイロハモグリガ,,,出版後の追加,名前変更,"Tischeria decidua Wocke, 1876",コナラ (以上プナ科); クヌギ; アベマキ; カシワ; ミズナラ; クヌギ; アベマキ; カシワ; ミズナラ; クヌギ; アベマキ; カシワ; ミズナラ; クヌギ; アベマキ; カシワ; ミズナラ; クヌギ; アベマキ; カシワ; ミズナラ,日本産蛾類標準図鑑3
68,Tischeriidae,ムモンハモグリガ科,,,,,,,Tischeria,,quercifolia,,Kuroko,1982,,クヌギキムモンハモグリ,,クヌギキハモグリガ,,,,,"Tischeria quercifolia Kuroko, 1982",コナラ (以上プナ科); クヌギ; カシワ; ミズナラ; クヌギ; カシワ; ミズナラ; クヌギ; カシワ; ミズナラ; クヌギ; カシワ; ミズナラ; クヌギ; カシワ; ミズナラ,日本産蛾類標準図鑑3
,Tischeriidae,ムモンハモグリガ科,,,,,,,Tischeria,,"sp. 1 of Oku, 2003",,,,,ウスキハモグリガ,,,,,非掲載,,,不明; 不明; 不明; 不明; 不明,
,Tischeriidae,ムモンハモグリガ科,,,,,,,Manitischeria,,relictana,,(Ermolaev),1986,,ミズメムモンハモグリ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
69,Tischeriidae,ムモンハモグリガ科,,,,,,,Coptotriche,,angusticollella,,(Duponchel),1843,,バラクロムモンハモグリ,,バラクロハモグリガ,,,,,"Coptotriche angusticollella (Duponchel, 1843)",ノイバラ; テリハノイバラ; ノイバラ; テリハノイバラ; ノイバラ; テリハノイバラ; ノイバラ; テリハノイバラ; ノイバラ; テリハノイバラ,日本産蛾類標準図鑑3
70,Tischeriidae,ムモンハモグリガ科,,,,,,,Coptotriche,,heinemanni,,(Wocke),1871,,キイチゴクロムモンハモグリ,,キイチゴクロハモグリガ,,,,,"Coptotriche heinemanni (Wocke, 1871)",ダイコンソウ (以上バラ科); ニガイチゴ; クマイチゴ; ナガバモミジイチゴ; バライチゴ; キンミズヒキ; ニガイチゴ; クマイチゴ; ナガバモミジイチゴ; バライチゴ; キンミズヒキ; ニガイチゴ; クマイチゴ; ナガバモミジイチゴ; バライチゴ; キンミズヒキ; ニガイチゴ; クマイチゴ; ナガバモミジイチゴ; バライチゴ; キンミズヒキ; ニガイチゴ; クマイチゴ; ナガバモミジイチゴ; バライチゴ; キンミズヒキ,日本産蛾類標準図鑑3
,Tischeriidae,ムモンハモグリガ科,,,,,,,Coptotriche,,japoniella,,Puplesis and Diškus,2003,,ヒサカキムモンハモグリ,,,,,,,"Coptotriche japoniella Puplesis and Diskus, 2003",ハマヒサカキ (以上ツバキ科); ヒサカキ; ヒサカキ; ヒサカキ; ヒサカキ; ヒサカキ; ; ヒサカキ; ヒサカキ;; ヒサカキ;; ヒサカキ;; ヒサカキ;; ; ヒサカキ; ヒサカキ;; ヒサカキ;; ヒサカキ;; ヒサカキ;; ; ヒサカキ; ヒサカキ;; ヒサカキ;; ヒサカキ;; ヒサカキ;; ; ヒサカキ; ヒサカキ;; ヒサカキ;; ヒサカキ;; ヒサカキ;,日本産蛾類標準図鑑3
71,Tischeriidae,ムモンハモグリガ科,,,,,,,Coptotriche,,szoecsi,,(Kasy),1961,,ワレモコウツヤムモンハモグリ,ワレモコウツヤムモンハモグリ,ワレモコウツヤハモグリガ,,,,,"Coptotriche szoecsi (Kasy, 1961)",ワレモコウ (バラ科),日本産蛾類標準図鑑3
,Tischeriidae,ムモンハモグリガ科,,,,,,,Coptotriche,,minuta,,Diškus & Stonis,2014,,クマシデムモンハモグリ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Meessiidae,和名未定（ヒメヒロズコガ類）,,,,,,,Eudarcia,,dentata,,Gaedike,2000,,ホソヒメヒロズコガ,ホソヒメヒロズコガ（和名新称）,,,,,,"Eudarcia dentata Gaedike, 2000",岩や木をおおう明褐色の粉状地衣類; 岩や木をおおう明褐色の粉状地衣類; 岩や木をおおう明褐色の粉状地衣類; 岩や木をおおう明褐色の粉状地衣類; 岩や木をおおう明褐色の粉状地衣類,日本産蛾類標準図鑑3
,Meessiidae,和名未定（ヒメヒロズコガ類）,,,,,,,Eudarcia,,orbiculidomus,,(Sakai & Saigusa),1999,,ヒメヒロズコガ,,コケヒロズコガ,,,,,"Eudarcia orbiculidomus (Sakai & Saigusa, 1999)",岩や木をおおう明るい緑色の粉状地衣類; 岩や木をおおう明るい緑色の粉状地衣類; 岩や木をおおう明るい緑色の粉状地衣類; 岩や木をおおう明るい緑色の粉状地衣類; 岩や木をおおう明るい緑色の粉状地衣類,日本産蛾類標準図鑑3
,Meessiidae,和名未定（ヒメヒロズコガ類）,,,,,,,Eudarcia,,ornata,,Gaedike,2000,,ギンスジヒメヒロズコガ,,,,,,,"Eudarcia ornata Gaedike, 2000",地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類; 地衣類,日本産蛾類標準図鑑3
,Meessiidae,和名未定（ヒメヒロズコガ類）,,,,,,,Eudarcia,,sinjovi,,Gaedike,2000,,ハイイロヒメヒロズコガ,,,,,,,"Eudarcia sinjovi Gaedike, 2000",岩や木をおおう黒褐色の粉状地衣類; 岩や木をおおう黒褐色の粉状地衣類; 岩や木をおおう黒褐色の粉状地衣類; 岩や木をおおう黒褐色の粉状地衣類; 岩や木をおおう黒褐色の粉状地衣類,日本産蛾類標準図鑑3
720,Dryadaulidae,和名未定（スジモンヒロズコガ類）,,,,,,,Dryadaula,,epischista,,(Meyrick),1936,,ヒメツマオレガ,,,,,出版後の追加,名前変更,"Dryadaula epischista (Meyrick, 1936)",不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
716,Dryadaulidae,和名未定（スジモンヒロズコガ類）,,,,,,,Dryadaula,,trapezoides,,(Meyrick),1935,,マメヒロズコガ,マメヒロズコガ（和名新称）,,,,出版後の追加,名前変更,"Dryadaula trapezoides (Meyrick, 1935) comb. nov.",樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮; 樹皮,日本産蛾類標準図鑑3
696,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Scardia,,amurensis,,Zagulajev,1965,,オオヒロズコガ,,,,,,,"Scardia amurensis Zagulajev, 1965",ツリガネタケ (多孔菌科); エブリコ (多孔菌科),日本産蛾類標準図鑑3
696,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Scardia,,fusca,,"Osada, Sakai & Hirowatari",2016,,ミナミオオヒロズコガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Amorophaga,,japonica,,Robinson,1986,,スジモンオオヒロズコガ,,,,,,,"Amorophaga japonica Robinson, 1986",ヒトクチタケ (多孔菌科); アカマツ (マツ科); ヒトクチタケの寄主であるの樹皮下から子実体へむかって穿孔することが多い; ; ; ヒトクチタケの寄主であるの樹皮下から子実体へむかって穿孔することが多い; ; ; ヒトクチタケの寄主であるの樹皮下から子実体へむかって穿孔することが多い; ; ; ヒトクチタケの寄主であるの樹皮下から子実体へむかって穿孔することが多い; ; ; ヒトクチタケの寄主であるの樹皮下から子実体へむかって穿孔することが多い,日本産蛾類標準図鑑3
697,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Morophaga,,bucephala,,(Snellen),1884,,アトモンヒロズコガ,,,,,,,"Morophaga bucephala (Snellen, 1884)",不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Morophaga,,parabucephala,,Ponomarenko & Park,1996,,ニセアトモンヒロズコガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Morophaga,,plana,,Osada & Hirowatari,2016,,エゾウスマダラオオヒロズコガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Morophaga,,fasciculata,,Robinson,1986,,ウスマダラオオヒロズコガ,,,,,,,"Morophaga fasciculata Robinson, 1986",オオミダレアミタケ (多孔菌科),日本産蛾類標準図鑑3
,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Morophaga,,formosana,,Robinson,1986,,マダラオオヒロズコガ,,,,,,,"Morophaga formosana Robinson, 1986",マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ; マンネンタケ,日本産蛾類標準図鑑3
,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Morophaga,,iriomotensis,,Robinson,1986,,ヤエヤママダラオオヒロズコガ,ヤエヤママダラオオヒロズコガ（和名改称）,サカイヒロズコガ,,,,,"Morophaga iriomotensis Robinson, 1986",不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
698,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Morophagoides,,moriutii,,Robinson,1986,,シイタケオオヒロズコガ,,,,,,,"Morophagoides moriutii Robinson, 1986",不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
698,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Morophagoides,,breviculus,,"Osada, Sakai & Hirowatari",2015,,ヒメシイタケオオヒロズコガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Morophagoides,,occidentalis,,"Osada, Yoshimatsu, Sakai and Hirowatari",2014,,ニシシイタケオオヒロズコガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Morophagoides,,meridianus,,"Osada, Yoshimatsu, Sakai and Hirowatari",2014,,ミナミシイタケオオヒロズコガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
698,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Morophagoides,,robinsoni,,"Osada, Sakai & Hirowatari",2015,,キイシイタケオオヒロズコガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Morophagoides,,ussuriensis,,(Caradja),1920,,ウスリーシイタケオオヒロズコガ,,,,,,,"Morophagoides ussuriensis (Caradja, 1920)",シイタケ (キシメジ科); の子実体; の子実体; の子実体; の子実体; の子実体; ; の子実体; の子実体; の子実体; の子実体; の子実体; ; の子実体; の子実体; の子実体; の子実体; の子実体; ; の子実体; の子実体; の子実体; の子実体; の子実体; ; の子実体; の子実体; の子実体; の子実体; の子実体,日本産蛾類標準図鑑3
698,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Morophagoides,,aquilonis,,"Osada, Sakai & Hirowatari",2015,,ミヤマシイタケオオヒロズコガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
698,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Morophagoides,,yakuensis,,"Osada, Sakai & Hirowatari",2015,,ヤクシマシイタケオオヒロズコガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Montescardia,,tessulatellus,,(Zeller),1846,,ウスイロオオヒロズコガ,,,,,,,,不明; 不明; 不明; 不明; 不明,
,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Montescardia,,kurenzovi,,(Zagulajev),1966,,エゾウスイロオオヒロズコガ,,,,,非掲載,再発見,,不明; 不明; 不明; 不明; 不明,
,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Tinissa,,indica,,Robinson,1976,,カビラクリイロヒロズコガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Tineidae,ヒロズコガ科,Scardiinae,オオヒロズコガ亜科,,,,,Tinissa,,leguminella,,Yang & Li,2012,,クリイロヒロズコガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
700,Tineidae,ヒロズコガ科,Nemapogoninae,コクガ亜科,,,,,Dinica,,endochrysa,,(Meyrick),1935,,マエモンヒロズコガ,,,,,,,"Dinica endochrysa (Meyrick, 1935)",不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
,Tineidae,ヒロズコガ科,Nemapogoninae,コクガ亜科,,,,,Haplotinea,,insectella,,(Fabricius),1794,,ウスグロコクガ,,,,,非掲載,,,不明; 不明; 不明; 不明; 不明,
699,Tineidae,ヒロズコガ科,Nemapogoninae,コクガ亜科,,,,,Nemapogon,,granella,,(Linnaeus),1758,,コクガ,,,,,,,"Nemapogon granella (Linnaeus, 1758)",貯蔵穀物; ツツハナバチの集めた花粉団子も食する; 貯蔵穀物; ツツハナバチの集めた花粉団子も食する; 貯蔵穀物; ツツハナバチの集めた花粉団子も食する; 貯蔵穀物; ツツハナバチの集めた花粉団子も食する; 貯蔵穀物; ツツハナバチの集めた花粉団子も食する,日本産蛾類標準図鑑3
,Tineidae,ヒロズコガ科,Nemapogoninae,コクガ亜科,,,,,Nemapogon,,mesoplaca,,(Meyrick),1919,,オビコクガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Tineidae,ヒロズコガ科,Nemapogoninae,コクガ亜科,,,,,Nemapogon,,robusta,,Gaedike,2000,,シロコクガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Tineidae,ヒロズコガ科,Nemapogoninae,コクガ亜科,,,,,Nemapogon,,bidentata,,Xiao & Li,2010,,ウスイロコクガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Tineidae,ヒロズコガ科,Nemapogoninae,コクガ亜科,,,,,Archinemapogon,,bacurianus,,Zagulajev,1962,,スジモンコクガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Tineidae,ヒロズコガ科,Nemapogoninae,コクガ亜科,,,,,Triaxomera,,puncticulata,,"Miyamoto, Hirowatari & Yamamoto",2002,,シラホシミヤマヒロズコガ,,,,,,,"Triaxomera puncticulata Miyamoto, Hirowatari & Yamamoto, 2002",プナ (プナ科); その表面で羽化殻が確認されている; ; その表面で羽化殻が確認されている; ; その表面で羽化殻が確認されている; ; その表面で羽化殻が確認されている; ; その表面で羽化殻が確認されている,日本産蛾類標準図鑑3
701,Tineidae,ヒロズコガ科,Teichobiinae,ウスバヒロズコガ亜科,,,,,Psychoides,,phaedrospora,,(Meyrick),1935,,ウスバヒロズコガ,,,,,,,"Psychoides phaedrospora (Meyrick, 1935)",不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
702,Tineidae,ヒロズコガ科,Myrmecozelinae,フサクチヒロズコガ亜科,,,,,Cephitinea,,colonella,,(Erschoff),1874,,ナガバヒロズコガ,,,,,,,"Cephitinea colonella (Erschoff, 1874)",不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
704,Tineidae,ヒロズコガ科,Myrmecozelinae,フサクチヒロズコガ亜科,,,,,Ippa,,conspersa,,(Matsumura),1931,,マダラマルハヒロズコガ,,,,,,,"Ippa conspersa (Matsumura, 1931)",アリの巣の中で; 昆虫の死骸も与えれば食べる; アリの巣の中で; 昆虫の死骸も与えれば食べる; アリの巣の中で; 昆虫の死骸も与えれば食べる; アリの巣の中で; 昆虫の死骸も与えれば食べる; アリの巣の中で; 昆虫の死骸も与えれば食べる,日本産蛾類標準図鑑3
,Tineidae,ヒロズコガ科,Myrmecozelinae,フサクチヒロズコガ亜科,,,,,Cephimallota,,chasanica,,Zagulajev,1965,,ハチノスヒロズコガ,,,,,,,"Cephimallota chasanica (Zagulajev, 1965)",不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
709,Tineidae,ヒロズコガ科,Myrmecozelinae,フサクチヒロズコガ亜科,,,,,Tineovertex,,melanochryseus,,(Meyrick),1911,,クロスジキヒロズコガ,,,,,,,"Tineovertex melanochryseus (Meyrick, 1911)",枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉; 枯れ葉,日本産蛾類標準図鑑3
,Tineidae,ヒロズコガ科,Setomorphinae,亜科和名未定,,,,,Setomorpha,,rutella,,Zeller,1852,,ミナミクロマダラヒロズコガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
703,Tineidae,ヒロズコガ科,Hapsiferinae,デコボコヒロズコガ亜科,,,,,Dasyses,,barbata,,(Christoph),1881,,デコボコヒロズコガ,,,,,,,"Dasyses barbata (Christoph, 1881)",腐朽木; しばしばキノコも関係しているようである; 腐朽木; 腐朽木; 腐朽木; 腐朽木; 腐朽木; しばしばキノコも関係しているようである; 腐朽木; 腐朽木; 腐朽木; 腐朽木; 腐朽木; しばしばキノコも関係しているようである; 腐朽木; 腐朽木; 腐朽木; 腐朽木; 腐朽木; しばしばキノコも関係しているようである; 腐朽木; 腐朽木; 腐朽木; 腐朽木; 腐朽木; しばしばキノコも関係しているようである; 腐朽木; 腐朽木; 腐朽木; 腐朽木,日本産蛾類標準図鑑3
,Tineidae,ヒロズコガ科,Hapsiferinae,デコボコヒロズコガ亜科,,,,,Dasyses,,rugosella,,(Stainton),1859,,コブヒロズコガ,,,,,,,"Dasyses rugosella (Stainton, 1859)",ヤム (ヤマノイモ科); 樹皮; ナイジェリアやフィリピンでは貯蔵していたを食害している; しばしばキノコも関係しているらしい; 樹皮; 樹皮; 樹皮; 樹皮,日本産蛾類標準図鑑3
,Tineidae,ヒロズコガ科,Hapsiferinae,デコボコヒロズコガ亜科,,,,,Cimitra,,seclusella,,Walker,1864,,カビラウスチャヒロズコガ,カビラウスチャヒロズコガ（和名新称）,,,,,,"Cimitra seclusella Walker, 1864",不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
710,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Trichophaga,,tapetzella,,(Linnaeus),1758,,ジュウタンガ,,,,,,,"Trichophaga tapetzella (Linnaeus, 1758)",羊毛と各種毛皮; それらの加工品; 羽毛や鳥のペレット; 羊毛と各種毛皮; それらの加工品; 羽毛や鳥のペレット; 羊毛と各種毛皮; それらの加工品; 羽毛や鳥のペレット; 羊毛と各種毛皮; それらの加工品; 羽毛や鳥のペレット; 羊毛と各種毛皮; それらの加工品; 羽毛や鳥のペレット,日本産蛾類標準図鑑3
711,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Niditinea,,tugurialis,,(Meyrick),1932,,ウスグロイガ,,,,,,,"Niditinea tugurialis Meyrick, 1932",哺乳類の毛や鳥類の羽毛; またその加工品; 哺乳類の毛や鳥類の羽毛; またその加工品; 哺乳類の毛や鳥類の羽毛; またその加工品; 哺乳類の毛や鳥類の羽毛; またその加工品; 哺乳類の毛や鳥類の羽毛; またその加工品,日本産蛾類標準図鑑3
712,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Niditinea,,striolella,,(Matsumura),1931,,クロスジイガ,,,,,,,"Niditinea striolella (Matsumura, 1931)",哺乳類の毛や鳥類の羽毛と; 哺乳類の毛や鳥類の羽毛と; 哺乳類の毛や鳥類の羽毛と; 哺乳類の毛や鳥類の羽毛と; 哺乳類の毛や鳥類の羽毛と,日本産蛾類標準図鑑3
